Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
PC 38:1,315200,195373,151480,414964,79327,257652,514834,1185415,385751
PC 38:2,105391,169154,NA,465983,117904,40406,185302,62258,182276
PC 38:3,13753499,24331110,2679015,45072396,2452283,4910806,15136573,3676952,5044756
PC 38:4,4889444,8745804,79425,6083326,4271474,4318395,9800060,4193940,2759042
PC 38:4|PC 18:0_20:4,232379376,678785216,7558508,851672640,69095392,146877888,405986784,162576848,141339280
PC 38:5,428023,954182,56213,2253486,464855,324606,1306049,574028,187067
PC 38:5|PC 16:0_22:5,15920514,46303372,1031535,78824336,5375780,6431374,27724104,9611072,6502658
PC 38:5|PC 18:1_20:4,30449562,114255472,4944368,175254928,19535154,18364888,68261392,28387266,20641562
PC 38:7,246351,459951,20667,3442461,63636,78677,643586,128484,195047
PC 40:1,78983,126154,35970,293649,121566,89445,279428,253803,106037
PC 40:2,58866,3083413,13617,5819,7175,50831,168783,320016,2623236
PC 40:3,650412,1545500,7487,716736,90215,418543,757252,435531,605032
PC 40:4,1326978,3267565,NA,4094769,237773,1387744,2078510,547008,1016453
PC 40:4|PC 18:0_22:4,16985620,41696116,120759,43653512,2520226,11000071,27885790,6254486,13677225
PC 40:5,1079756,4599715,158531,3863483,335521,2285130,1847718,814233,881099
PC 40:5|PC 18:0_22:5,12261408,46275020,481323,51460884,2782964,4531575,19411028,6940512,8015563
PC 40:6,2080763,312476,154329,3735072,122626,722824,1510413,968732,961515
PC 40:6|PC 18:0_22:6,56138396,167808080,5282458,290941760,13338024,20371680,61431656,31957958,30875788
PC 40:7,768744,1885944,6671,3480839,141971,113174,1299323,81600,362791
PC 40:8,317034,2965513,37574,9625561,222442,121008,3097246,396774,483625
PC 42:2,233306,358959,51377,503724,162512,83903,491352,369306,497864
PC 42:3,42277,51291,8816,101951,24328,70052,798784,206314,202168
PC 42:4,698146,542768,16569,3162689,66928,515889,2378114,452168,1536537
PC 42:5,429881,919696,2809,626536,58539,549232,759873,512089,321759
PC 42:6,78148,68892,4875808,743353,31199,144141,108445,271527,247419
PC 42:7,1066336,1741454,33797,1659934,169000,438168,903570,302869,697105
PC 42:8,301502,639676,8799,989787,21948,56255,328753,210938,222574
PC 42:9,198434,336469,9993,531436,21957,52460,283755,72325,88294
PC 44:0,91805,1057646,38908,39720,87586,120353,117758,243388,1232824
PC 44:4,1613,147232,562069,28349,4720,38252,46389,53724,470133
PC 44:5,247783,182347,35861,1136715,72907,151355,677862,145515,300671
PC 44:8,425683,700186,36798,407196,200907,102295,1338973,336906,434441
PC 46:7,84954,206323,2946,255795,15326,32240,57602,39553,97895
PE 36:1|PE 18:0_18:1,1752773,1802091,NA,3406786,201781,435896,1888435,616264,375465
PE 36:2|PE 18:1_18:1,2130653,895522,27753,1794810,163492,237826,1017633,119921,131598
PE 38:4|PE 18:0_20:4,9296790,8517466,323780,13975556,782687,2190893,8561718,2673905,2257117
PE 40:4|PE 18:0_22:4,7930,10211,20649,39279,17049,926,45420,25530,21179
PE 40:5|PE 18:0_22:5,29788,33675,21237,54889,14248,2391,31167,18860,9399
PE 40:6|PE 18:0_22:6,21903800,12349665,1261530,9194146,1972900,7461134,15355387,6026219,4601764
PI 34:2,263460,216787,6870,1011833,23023,55707,204585,102077,66877
PI 36:2,19090,84979,1449,658890,1902,770,52,11625,108
PI 36:3,115906,103440,3051,365879,14993,26304,96791,63016,25456
PI 36:4,626348,660970,67399,1240726,74017,145907,978478,320445,280987
PI 38:3,673648,709434,9413,1408167,54228,107644,566755,305009,201658
PI 38:4,2717315,2810602,385324,6420632,906892,2210330,2566470,3829516,1967614
PI 38:5,678259,448400,60471,765781,33121,223047,722875,262299,202011
PI 38:6,158645,129661,16940,377138,10459,52932,159526,70848,75107
PI 40:6,291034,256624,37244,274158,39020,140519,264721,241269,235024
PS 36:1,125945,23188,38174,240119,6549,75330,1605175,536999,1271767
PS 38:4,180462,74283,40680,601050,61898,63883,323370,117636,62556
PS 40:4,428832,415386,536037,285094,146473,287433,507785,465978,495221
SM 32:1;2O,1999727,2682837,39148,20336668,234733,132770,21447,1599514,90991
SM 32:1;2O|SM 18:1;2O/14:0,5598442,11883697,3037399,38076036,2457376,8532443,22196776,13367301,6142500
SM 34:0;2O,21609526,53572584,1007719,72557936,7524394,17968944,37940456,19698256,14085544
SM 34:0;3O,63510,228392,65842,655542,15882,20440,100104,97889,57261
SM 34:1;2O,2982488,45686704,1507,142655616,1023764,86846,151171,661108,41330
SM 34:1;3O,6077338,1543596,353344,3365328,2162735,994173,1350822,5277829,1039104
SM 34:2;2O,711700,2348560,14263,34095916,72144,99866,50995,954680,13875
SM 34:2;3O,74091,99988,22865,117185,378169,93656,368431,914891,125226
SM 34:7;3O,15484379,11083262,3589714,8397142,7107642,15639693,14375156,15895069,12645027
SM 36:0;2O,4033619,3696235,644118,6926560,169953,226682,5080362,3419009,2617974
SM 36:0;3O,1486620,2217513,22055,2898131,236448,931082,2244668,1235411,718181
SM 36:1;2O,1608012,531470,393496,859039,605853,488635,1417489,534151,268085
SM 36:1;2O|SM 18:1;2O/18:0,152357456,228260448,8508967,219630976,50340268,97633800,165773424,128638408,95304584
SM 36:1;3O,24338476,7357584,1160371,56074796,9199356,17237338,23211858,20750602,14369028
SM 36:2;2O,720715,4521578,7685,13249204,275194,25192,58194,132564,16166
SM 36:2;2O|SM 18:2;2O/18:0,27435160,99524544,12963659,74133648,17831952,24192210,53452752,35944220,22641852
SM 36:2;3O,2864,328680,1188,8038,3389,26193,72985,85788,810506
SM 36:3;2O,47402,176198,5044,854174,7193,42854,46099,152267,12892
SM 36:3;3O,2167548,1525032,454938,21747330,1139288,1678589,5556880,4114540,1367613
SM 36:7;2O,247743,86621,46642,245598,88845,135060,323128,317004,266318
SM 38:0;2O,581585,742462,59041,5013036,82014,108531,715825,509403,259844
SM 38:0;3O,4352,11148,2091719,548242,5004,722021,481072,311573,20319
SM 38:1;2O,2876800,30273158,77752,38351400,3531020,3986708,12407660,2392670,4154260
SM 38:1;2O|SM 18:1;2O/20:0,32508308,4050446,1248791,47690968,3033625,1281500,28610238,25249098,15194625
SM 38:1;3O,1902303,4010209,58071,4793550,226731,1264579,1528850,883907,1183128
SM 38:2;2O,12567785,21878382,1558681,27115180,4018696,6077269,17962178,11232437,5110479
SM 38:2;3O,3066182,1121473,42998,8150568,1210893,2728667,2863430,2560456,336103
SM 38:3;3O,4549801,6202458,77644,5780602,1393268,2951970,3942585,3390813,2125878
SM 38:4;3O,309167,989156,70316,3085309,96140,447848,863760,187914,181884
SM 38:6;2O,76830,112987,4396529,280520,7746,1718344,1507809,168089,68319
SM 40:0;2O,803159,2575551,30044,2957034,565465,295628,999131,1176849,366622
SM 40:0;3O,982433,146573,12189,570620,117728,305706,1026674,934163,999439
SM 40:1;2O,5339808,37425576,1492553,16716317,2028168,3360700,8836043,6848620,3206768
SM 40:1;2O|SM 18:1;2O/22:0,37256464,13595923,332995,132914816,8225299,18937672,69319736,45536124,19456532
SM 40:2;2O,3881200,8339478,1557538,12924262,1062348,1932816,4611862,3798326,1443038
SM 40:2;2O|SM 18:1;2O/22:1,9404690,2015875,145768,35816988,3491760,3021726,9827903,9145852,4504359
SM 40:2;2O|SM 18:2;2O/22:0,26218302,17408710,309600,97152160,6572501,11790119,40489536,22158098,10453207
SM 40:3;2O,3062132,7249010,36226,12207475,1673502,2011398,4618397,4543864,1681964
SM 40:3;3O,394849,430288,1803,2362316,66321,829247,147797,122130,262802
SM 40:4;3O,2134964,8000676,27581,8284928,544966,4946518,5926018,1721295,2187556
SM 40:5;3O,1157654,3764187,17429,4933516,79412,329370,2510132,1297235,1346781
SM 40:6;2O,2306759,2140054,884177,2601092,909714,1204848,2346909,1950558,2791222
SM 40:7;2O,1571746,805372,42542,1678186,395588,1288748,1434366,388296,1266573
SM 40:7;3O,284793,5040610,84759,5973082,116975,397175,279854,481748,201480
SM 40:8;2O,2524,282636,846,3518,26550,5695,38946,8726,946498
SM 42:0;2O,2502744,1540038,198401,2429406,2031951,306584,1388866,3490200,1903232
SM 42:1;2O,311234,2291345,63783,2982012,472371,305172,1911558,852544,307453
SM 42:1;2O|SM 18:1;2O/24:0,19458218,63313872,1001918,81161464,17965272,8549552,42178052,24327788,15168440
SM 42:1;3O,1651093,2302242,48953,3793011,410345,842393,1907770,1624961,1013469
SM 42:2;2O,9921758,4169170,147656,32376828,3620716,4569340,2913147,10615984,6737932
SM 42:2;2O|SM 18:1;2O/24:1,115439152,222537488,1386312,422504544,75690656,73947296,172467216,134606896,64312264
SM 42:2;3O,243314,1070993,1256,596245,6999,21849,116508,186600,69402
SM 42:3;2O,57897580,10781164,1826691,33317062,21107968,4506028,11323153,55478840,4024042
SM 42:3;2O|SM 18:1;2O/24:2,73311776,127347136,563884,237073328,27510590,34902120,95553384,71262552,33893648
SM 42:3;3O,34101,1091514,20501,266601,3594,122974,333321,92537,592159
SM 42:4;2O,1270144,2618794,10965,5378152,292295,607136,1736976,450149,368046
SM 42:4;2O|SM 18:2;2O/24:2,5068211,12778830,105147,18890026,1772059,2583094,7990703,8360834,7894710
SM 42:4;3O,305078,401728,9953,1191053,152814,443912,374989,382078,348912
SM 42:5;2O,146447,374794,NA,617035,38204,276360,1293911,1858714,1180773
SM 42:5;2O|SM 18:2;2O/24:3,175452,1298237,4582,534154,100365,106930,1019919,386143,38345
SM 42:5;3O,508292,2488508,6182,899609,81304,996965,1333567,200627,838227
SM 42:6;2O,23017,3200980,27954,58142,34538,42947,21094,93167,8220937
SM 42:6;3O,2067234,1654887,70848,10637119,532647,3183855,3619442,1519252,2816775
SM 42:9;3O,286888,557929,488828,187725,383962,294371,511733,538574,539878
SM 44:3;3O,30511,155135,4911900,825762,23699,4821036,6062696,621763,53730
SM 44:4;3O,35589,164498,283933,118297,12816,124930,764046,132013,1389606
SM 44:5;2O,489020,553790,8337,397295,151884,176234,754233,879483,495711
SM 44:5;3O,328298,1899545,4122,3876593,207280,1279921,1005818,260956,637698
SM 44:6;2O,398119,129591,21375,70879,246970,193329,213572,248193,278903
SM 46:4;3O,42834,282584,4996338,91069,74941,48095,135265,276259,70748
SM 46:5;3O,2107375,864220,194430,2605323,1793444,779448,3337583,495247,2396856
SM 46:6;3O,1749421,4062200,73548,8169195,703079,1951482,2846518,1181517,1022893
SM 48:7;3O,371816,1171848,21400,2137468,285450,620532,813177,691208,829229
TG 32:0|TG 8:0_12:0_12:0,55452,46098,477126,414414,43648,88230,156754,18146850,48872
TG 34:0|TG 10:0_12:0_12:0,63240,7329,101340,332850,2946,46297,204470,11191737,11543
TG 42:0|TG 12:0_14:0_16:0,648044,190765,368636,389195,938300,358001,740748,13747891,329135
TG 42:2|TG 8:0_16:0_18:2,1332017,307178,572919,87517,24868,98868,5479261,204074,447777
TG 44:0|TG 14:0_14:0_16:0,2110760,965180,2749234,3662308,2266034,3444516,5443254,1251832,2150326
TG 44:1|TG 10:0_16:0_18:1,977790,1155053,83472,2965566,1526899,1519705,4770896,1865967,1238773
TG 44:2|TG 8:0_18:1_18:1,1237034,1364709,1727258,1341015,530404,468362,4312908,1506396,1758327
TG 44:3|TG 8:0_18:1_18:2,17798,94485,412215,45401,148479,50105,511261,227278,430535
TG 46:0|TG 14:0_16:0_16:0,4756706,3801089,10633453,6916403,3477203,5435117,9545523,10326689,3855131
TG 46:1|TG 10:0_18:0_18:1,179190,735411,40829,438628,188880,84237,195061,222430,998239
TG 46:1|TG 14:0_16:0_16:1,2262356,3586177,7324621,8947612,3717013,2954031,8416099,1003622,1935778
TG 48:0|TG 14:0_16:0_18:0,1281097,365403,6494538,6650848,496423,288879,557430,3948996,152417
TG 48:0|TG 16:0_16:0_16:0,6484662,11715031,20439208,21435412,6384244,7892370,24174856,18890968,4905398
TG 48:1|TG 14:0_16:0_18:1,6802790,17201100,30857428,37280764,13780516,7068550,24531718,19695020,3248610
TG 48:2|TG 14:0_16:0_18:2,5216242,14788611,11834555,29736394,11157884,4455244,20244758,12956354,2625794
TG 48:3|TG 14:0_16:1_18:2,2148369,3834637,304404,9928619,2683496,1860070,8982247,3666526,261401
TG 48:3|TG 16:1_16:1_16:1,739021,1239438,529600,358861,1089480,1689020,95999,1898506,2125898
TG 50:0|TG 16:0_16:0_18:0,3198561,15505676,44545820,28010932,11306304,910304,2310629,15136153,2869705
TG 50:1|TG 16:0_16:0_18:1,2294,720510,88021,163921,1041,57785,44004,1912539,442891
TG 50:2|TG 16:0_16:0_18:2,5485200,57887008,182911152,87254288,13816647,26138076,34056416,80244856,10688310
TG 50:2|TG 16:0_16:1_18:1,20713392,32666052,161651328,81793040,108688280,27507540,38885124,82850616,9446695
TG 50:3|TG 16:0_16:1_18:2,903166,4164512,5829454,7337632,4814385,1881347,36289884,1492632,374059
TG 50:4|TG 14:0_18:2_18:2,1996577,9022302,14811545,15738262,2467010,2239350,10903882,1406391,564425
TG 52:0|TG 16:0_18:0_18:0,145644,849481,31891,61702,178665,861,25903,218406,2593778
TG 52:1|TG 16:0_18:0_18:1,8243996,69272336,104186920,78715968,81608904,11804761,33476178,39703620,15597220
TG 52:1|TG 18:0_18:0_16:1,31267,11593266,89535,62550,6371318,42139,557223,4623414,49295564
TG 52:2|TG 16:0_18:1_18:1,41088464,372882336,529313024,461975200,492961664,58137660,170399984,206312560,77146424
TG 52:3|TG 16:0_18:1_18:2,50945780,456796224,368020960,541810432,222283056,63010104,237864368,187906672,32896470
TG 52:4|TG 16:0_18:2_18:2,26070768,244556096,41337604,271829280,49962304,30610158,101039720,65259200,11472641
TG 52:5|TG 16:0_18:2_18:3,7119272,22605904,63915452,31354786,3661152,4345600,25790256,4331187,1512000
TG 52:5|TG 16:1_18:2_18:2,871642,11136116,5230701,18775440,3698852,2845678,5258426,6914684,461663
TG 54:0|TG 18:0_18:0_18:0,102840,979212,3943520,1774971,670443,1418805,376033,20372,822856
TG 54:1|TG 18:0_18:0_18:1,139465,10556684,20582958,6601948,5533188,2160262,3271388,130611,2731298
TG 54:2|TG 18:0_18:0_18:2,20872,1550677,843581,79009,313827,50272,4121795,717112,822241
TG 54:2|TG 18:0_18:1_18:1,4533252,121005616,99782320,38070188,71366496,11505280,21848968,3791503,30341400
TG 54:3|TG 18:0_18:1_18:2,5391708,33660388,114431752,50821140,9687726,3735376,6472424,9625996,3684058
TG 54:3|TG 18:1_18:1_18:1,9561025,394243136,223683184,78207608,280523968,28932058,46445288,145376128,162130880
TG 54:4|TG 18:1_18:1_18:2,20327030,183235216,268328112,137723520,73503632,47991072,86819208,129327936,35841208
TG 54:5|TG 18:1_18:2_18:2,12370572,103161808,105236384,84382344,25960476,29620444,63064696,7684086,16758561
TG 54:6|TG 18:1_18:2_18:3,5420940,30673262,401590112,40094000,6906483,18246562,34683292,17371726,5333710
TG 54:6|TG 18:2_18:2_18:2,787382,29916348,44011652,6321142,1320816,17197998,36128556,732923,4608150
TG 54:7|TG 18:1_18:2_18:4,20034,56027,17177028,6675,1698,36788,195679,75992,111915
TG 54:7|TG 18:2_18:2_18:3,1409283,6375809,65615912,10042666,1134525,3243952,8278892,2033963,233413
TG 54:8|TG 18:2_18:3_18:3,178863,459951,9195644,921512,93776,409488,1406362,265680,38078
TG 56:0|TG 16:0_16:0_24:0,127969,168672,32517,47540,7340,48226,119971,255478,146089
TG 56:0|TG 16:0_18:0_22:0,175150,32586,NA,178910,22020,13381,144977,8153,15138
TG 56:2|TG 18:0_18:1_20:1,184664,3410854,8418536,2779662,8260497,553854,787883,205990,557843
TG 56:2|TG 20:0_18:1_18:1,36678,6919276,8618895,2587590,12000193,138597,162096,129664,1756522
TG 56:3|TG 18:1_18:1_20:1,568641,7072008,23427744,7271970,51710664,1417119,2135560,1244538,1484780
TG 56:4|TG 18:1_20:1_18:2,986360,6133846,14869008,4774304,10621481,1875239,900025,7030543,298266
TG 56:4|TG 20:0_18:1_18:3,197529,2099526,1663979,1680124,691318,623183,1517493,454897,192762
TG 56:5|TG 18:1_18:2_20:2,1133756,6209158,16452393,4353382,3525936,2121870,3305652,5022674,420730
TG 56:6|TG 18:0_18:1_20:5,12067,70826,22225844,130488,888620,243171,467914,88391,12544
TG 56:6|TG 18:1_18:1_20:4,3650840,23748012,10130890,19085856,2970953,2923058,15917606,2657553,1243710
TG 56:7|TG 16:0_18:1_22:6,NA,3070935,140802,14684,18148,11472,7787,45118,2806678
TG 56:7|TG 18:1_18:2_20:4,2262058,15358452,3549329,15522973,1349276,1576747,9282783,1987699,830511
TG 56:8|TG 16:0_18:2_22:6,720890,7355005,1892916,8252868,463963,290759,2886062,888305,380432
TG 56:8|TG 18:2_18:2_20:4,884803,3501094,164836,4394992,519034,522901,3818412,544413,615023
TG 56:9|TG 18:2_18:3_20:4,284954,572953,118876,370460,78778,197877,1201214,26906,88610
TG 58:1|TG 16:0_24:0_18:1,118168,38634,33318,299841,12682,5761,63400,61691,24644
TG 58:10|TG 18:0_20:5_20:5,16181,134480,32725046,143326,45457,781050,943790,46672,269434
TG 58:10|TG 18:2_18:3_22:5,NA,10590,5030480,4874,992,1641,16913,25558,109846
TG 58:11|TG 18:1_20:5_20:5,911,2042,20932144,1026,2717,102461,776172,93160,104393
TG 58:2|TG 20:0_18:1_20:1,95116,899259,519317,344144,883117,194373,322080,67634,301333
TG 58:3|TG 18:1_20:1_20:1,102289,151884,98368,350975,1238188,98847,146579,47528,57949
TG 58:7|TG 18:1_18:2_22:4,63609,3277168,66992,2390409,304266,223537,2002446,77910,109016
TG 58:8|TG 18:1_18:1_22:6,469205,2215456,52517,2180151,339599,168676,566534,288749,176983
TG 58:8|TG 18:1_18:2_22:5,109373,1242114,206682,672491,93365,86704,1024409,106066,111707
TG 58:9|TG 18:1_18:2_22:6,526381,3034629,431861,2972528,236852,335590,2713416,616422,425525
TG 60:11|TG 20:3_20:4_20:4,199,5180,3447883,385,4232,909,13599,14531,15306
TG 60:2|TG 24:0_18:1_18:1,134487,20730,41668,95499,6153,1610,41828,552634,25878
TG 60:3|TG 18:1_20:1_22:1,65964,56120,744546,146281,844965,46817,26115,28083,5144
