LipidIon,D0_1,D0_2,D0_3,D4_1,D4_2,D4_3
PE(16:0_16:0),51400000,59800000,67300000,84200000,82300000,64300000
PE(16:0_16:1),20700000,9.40E+07,3.78E+08,7.40E+08,1.02E+09,9.41E+08
PE(16:0_18:1),1.47E+09,1.88E+09,2.12E+09,2.29E+09,2.66E+09,2.01E+09
PE(16:0_20:4),1.60E+08,1.89E+08,1.64E+08,1.97E+09,2.14E+09,1.67E+09
PE(16:0_20:5),85300000,58200000,1.58E+08,3.81E+08,3.60E+08,3.87E+08
PE(16:0_22:6),2.19E+09,1.30E+09,2.65E+09,2.75E+09,2.89E+09,3.37E+09
PE(16:0e),19300000,26200000,31800000,87300000,80500000,78700000
PE(16:0e_18:1),56300000,89800000,86500000,3.54E+08,3.47E+08,3.31E+08
PE(16:0e_22:5),5.90E+08,4.99E+08,7.56E+08,3.52E+09,3.56E+09,3.24E+09
PE(16:0p_18:1),7.94E+08,1.07E+09,2.95E+08,1.11E+09,1.10E+09,1.05E+09
PE(16:0p_20:1),1.67E+08,2.27E+08,2.35E+08,2.35E+08,2.09E+08,2.25E+08
PE(16:0p_20:3),52300000,2.25E+08,75200000,3.54E+08,3.47E+08,3.31E+08
PE(16:0p_20:4),1.26E+09,1.65E+09,1.78E+09,3.23E+09,2.92E+09,2.86E+09
PE(16:0p_20:5),2.46E+08,2.46E+08,2.47E+08,2.01E+09,2.08E+09,2.07E+09
PE(16:0p_22:1),5.60E+07,6.90E+07,71200000,62500000,53800000,47100000
PE(16:1_16:1),5822137.471,15900000,6350017.852,1.78E+08,2.32E+08,2.35E+08
PE(16:1_18:1),52600000,92600000,30400000,1.74E+09,1.97E+09,1.88E+09
PE(16:1_20:4),62400000,41200000,99200000,2.38E+08,2.23E+08,2.55E+08
PE(16:1_20:5),7916499.232,9595080.456,8954497.721,52200000,60500000,66800000
PE(16:1_22:6),1.04E+08,1.38E+08,54800000,2.07E+08,2.42E+08,2.32E+08
PE(16:1e_16:0),4894008.02,6156809.5,3135159.925,7545190.634,7049032.586,6723343.052
PE(16:1e_20:3),77300000,2.25E+08,75200000,3.54E+08,3.47E+08,3.31E+08
PE(16:1e_20:4),2.53E+08,4.79E+08,1.63E+08,8.00E+08,7.50E+08,7.25E+08
PE(16:1e_22:3),48700000,26600000,19900000,2.31E+08,2.23E+08,83800000
PE(16:1e_22:4),4.86E+08,1.87E+08,6.83E+08,8.24E+08,7.82E+08,1.11E+09
PE(16:1e_22:6),1.16E+08,1.22E+08,1.85E+08,6.02E+08,5.94E+08,5.62E+08
PE(18:0_18:0),7.91E+08,3.17E+08,1.19E+09,1.05E+09,1.01E+09,8.70E+08
PE(18:0_18:1),1.28E+09,4.20E+09,4.50E+09,5.59E+09,5.19E+09,4.74E+09
PE(18:0_20:1),3.64E+08,1.18E+08,5.45E+08,5.06E+08,4.13E+08,2.88E+08
PE(18:0_20:2),1.29E+09,1.92E+09,6.32E+08,1.65E+09,1.53E+09,1.52E+09
PE(18:0_20:3),1.86E+09,8.66E+08,7.81E+08,2.57E+09,2.30E+09,2.23E+09
PE(18:0_20:4),8.21E+08,4.20E+09,1.32E+09,5.59E+09,5.19E+09,4.74E+09
PE(18:0_20:5),4.63E+08,2.27E+08,2.25E+08,1.33E+09,1.16E+09,1.19E+09
PE(18:0_22:4),3.64E+08,1.80E+08,5.23E+08,5.02E+08,4.13E+08,2.88E+08
PE(18:0_22:5),1.29E+09,1.92E+09,6.32E+08,1.66E+09,1.53E+09,1.52E+09
PE(18:0_22:6),1.86E+09,2.49E+09,7.74E+08,2.55E+09,2.30E+09,2.23E+09
PE(18:0e),90700000,1.13E+08,1.27E+08,2.28E+08,2.26E+08,2.17E+08
PE(18:0p_20:4),1.38E+08,6.41E+08,2.19E+08,1.16E+09,1.01E+09,1.03E+09
PE(18:0p_20:5),33600000,24100000,1.80E+07,4.81E+08,4.71E+08,4.46E+08
PE(18:1_18:1),7.78E+08,8.89E+08,1.17E+09,3.43E+09,4.26E+09,3.25E+09
PE(18:1_18:2),1.47E+08,88100000,76600000,5.13E+08,5.07E+08,4.91E+08
PE(18:1_20:3),2.11E+09,1.17E+09,1.23E+09,3.02E+09,3.02E+09,2.70E+09
PE(18:1_20:4),2.38E+09,3.49E+09,1.25E+09,3.45E+09,3.45E+09,3.35E+09
PE(18:1_20:5),1.33E+08,1.72E+08,76600000,5.04E+08,4.94E+08,4.84E+08
PE(18:1_22:1),2567559.613,4179268.417,75200000,1756337.16,46400000,27700000
PE(18:1_22:3),6320785.008,7230645.208,21300000,27500000,25700000,2.50E+07
PE(18:1_22:5),7.23E+08,4.73E+08,50700000,8.44E+08,9.69E+08,8.66E+08
PE(18:1_22:6),2.13E+09,2.63E+09,2.88E+09,3.03E+09,3.02E+09,3.03E+09
PE(18:1_24:1),37600000,51800000,45300000,24300000,20400000,1.70E+07
PE(18:1e),22600000,28600000,41900000,67100000,67800000,68100000
PE(18:1e_18:1),4.43E+08,6.38E+08,7.12E+08,1.16E+09,1.01E+09,1.04E+09
PE(18:1e_20:4),1.26E+08,1.99E+08,2.20E+08,3.58E+08,3.21E+08,3.40E+08
PE(18:1e_22:5),3.46E+08,52800000,6897648.96,4.65E+08,3.07E+08,4.37E+08
PE(18:1e_22:6),85600000,1.32E+08,1.26E+08,1.73E+08,1.69E+08,1.78E+08
PE(18:1p_18:1),1.71E+08,2.16E+08,2.73E+08,1.28E+09,1.21E+09,1.04E+09
PE(18:1p_20:1),86900000,1.44E+08,1.73E+08,1.60E+08,1.44E+08,1.44E+08
PE(18:1p_20:2),1.44E+08,2.18E+08,2.26E+08,2.39E+08,5.35E+08,2.25E+08
PE(18:1p_20:3),4.83E+08,1.87E+08,6.83E+08,8.25E+08,7.55E+08,1.11E+09
PE(18:1p_20:4),7.58E+08,9.50E+08,7.16E+08,6.06E+09,5.56E+09,5.35E+09
PE(18:1p_22:5),1.35E+09,1.39E+09,6.15E+08,1.29E+09,1.29E+09,1.26E+09
PE(18:1p_22:6),5.05E+08,7.84E+08,7.56E+08,3.52E+09,3.56E+09,3.24E+09
PE(18:2_18:2),1.04E+08,1.40E+08,54800000,2.15E+08,2.56E+08,2.46E+08
PE(18:2e_16:0),2.21E+08,4.03E+08,4.37E+08,4.04E+08,4.03E+08,4.21E+08
PE(18:2e_16:1),20700000,13300000,14900000,1.13E+08,1.19E+08,66200000
PE(18:2e_18:1),2.04E+08,89600000,8.90E+07,4.11E+08,4.15E+08,4.20E+08
PE(18:2e_20:4),2.09E+08,3.17E+08,2.54E+08,1.74E+09,1.68E+09,1.63E+09
PE(18:2e_20:5),2.07E+08,2.92E+08,2.86E+08,1.12E+09,1.07E+09,1.00E+09
PE(18:2e_22:1),19400000,40100000,7517868.625,37200000,48100000,7621481.361
PE(18:2e_22:5),1.05E+08,1.52E+08,1.80E+08,4.50E+08,4.44E+08,4.24E+08
PE(18:2e_22:6),1.34E+08,1.54E+08,2.27E+08,9.19E+08,9.16E+08,8.68E+08
PE(20:1p_22:5),66500000,91800000,1.09E+08,1.36E+08,79900000,76200000
PE(20:3e),6654046.725,15700000,1.60E+07,14200000,16400000,12500000
PE(22:5e),12100000,18300000,1.40E+07,12400000,10800000,12600000
PE(32:1),4513167.18,0,0,3.40E+07,25900000,53200000
PE(32:2),0,487417.3275,293672.8074,12500000,26700000,20800000
PE(34:2e),7.97E+08,9.17E+08,9.63E+08,1.11E+09,1.10E+09,1.05E+09
PE(36:5e),30700000,40900000,38400000,1.08E+08,1.13E+08,1.01E+08
PE(38:0e),73100000,97500000,86400000,92900000,6223810.882,55100000
PE(38:4e),1.44E+08,6.50E+07,81500000,2.39E+08,5.35E+08,2.25E+08
PE(38:7),7379474.707,11300000,16800000,2.40E+07,30200000,24400000
PE(40:4),27100000,13600000,5.20E+07,4.60E+07,38400000,17500000
PE(40:5),1.26E+08,1.68E+08,1.98E+08,1.28E+08,1.12E+08,1.17E+08
PE(40:6),1.18E+08,1.56E+08,43300000,1.43E+08,1.19E+08,1.25E+08
PG(16:0_18:1),38800000,23500000,88100000,5.91E+08,5.46E+08,5.39E+08
PG(16:1_18:1),29600000,45700000,53600000,1.95E+08,1.77E+08,5.90E+07
PG(16:1_22:6),2326211.781,3391687.088,3061587.441,66200000,63400000,58300000
PG(18:0_18:1),5.30E+07,81700000,92300000,1.22E+08,89600000,1.12E+08
PG(18:1_18:1),4.54E+08,71900000,39800000,1.48E+09,1.39E+09,1.46E+09
PG(18:1_18:2),2.70E+07,40700000,48800000,91900000,86400000,79100000
PG(18:1_20:2),5435486.983,3964750.164,8626468.57,80900000,66800000,65700000
PG(18:1_20:3),4846473.832,3442270.867,3690874.838,34400000,26700000,2.60E+07
PG(18:1_22:5),30700000,16700000,65200000,1.70E+08,1.41E+08,1.02E+08
PG(18:1_22:6),1.19E+08,54500000,80800000,4.29E+08,4.83E+08,3.37E+08
PG(20:5_22:6),1191767.048,859863.1086,1924117.639,12700000,9066783.14,9363218.205
PG(22:5_22:5),1243145.023,1235142.667,1385565.96,1.10E+07,8074315.294,8456491.133
PG(22:5_22:6),7242407.59,4997108.27,4552088.284,81300000,66500000,56900000
PG(22:6_22:6),28500000,12800000,9947475.941,1.83E+08,1.46E+08,1.40E+08
PI(18:0_16:1),42400000,56500000,21200000,80900000,6.70E+07,77800000
PS(18:0_18:0),289108.1709,297807.921,297737.9943,2503468.861,4811131.484,6868142.71
PS(18:0_18:1),26800000,8810305.301,5051222.08,1.44E+08,1.67E+08,1.50E+08
PS(18:0_20:2),8980477.136,0,0,5012666.716,6764082.02,10700000
PS(18:0_20:3),73500000,1.02E+08,1.08E+08,1.03E+08,90600000,97300000
PS(18:0_20:4),19800000,26100000,27800000,85400000,1.09E+08,88300000
PS(18:0_22:5),1.08E+08,1.20E+08,46500000,3.72E+08,3.01E+08,2.75E+08
PS(18:0_22:6),83500000,25800000,1.20E+08,1.33E+08,1.20E+08,1.26E+08
PS(18:1_18:1),1120571.453,1091611.298,723141.9075,2981560.896,5058347.983,4896473.336
PS(18:1_22:6),41500000,58900000,56700000,49500000,50800000,49500000
PS(18:2_20:4),23900000,4022953.483,8011553.395,32400000,35400000,29900000
PS(18:2_22:6),22200000,27600000,28400000,25600000,24200000,23800000
PS(20:2_22:6),43400000,5.30E+07,59800000,45900000,45600000,43900000
PS(20:5_18:2),2530113.015,1417631.014,1887703.361,10200000,10600000,10200000
PS(38:7),2149985.999,884233.9371,3179599.881,5021413.938,5926404.72,5253591.234
PS(38:7e),16500000,9564543.219,6634168.109,23900000,26700000,24600000
PS(40:7e),12600000,3823864.746,5806700.507,27800000,24900000,25900000
PS(40:8e),8053700.201,9306630.225,11400000,56600000,54300000,50200000
PS(40:9e),2.90E+07,42600000,43200000,41600000,44100000,42900000
PS(42:7),35500000,41900000,47500000,32200000,32100000,40200000
PS(42:7e),7168367.523,9452311.926,8552238.909,8055167.121,1.70E+07,8622137.117
SM(d18:1_16:0),1.51E+10,2.07E+10,1.87E+10,2.45E+10,2.52E+10,2.58E+10
SM(d18:1_16:1),8.17E+08,1.02E+09,1.15E+09,1.88E+09,2.02E+09,1.89E+09
SM(d18:1_24:2),79300000,29900000,42800000,1.36E+08,1.14E+08,1.30E+08
SM(d18:2_18:2),7.39E+08,9.69E+08,9.44E+08,9.10E+08,8.94E+08,8.76E+08
SM(d20:1_16:1),2.50E+08,1.07E+08,3.34E+08,3.23E+08,4.02E+08,4.18E+08
SM(d30:2),2.97E+08,39400000,50700000,99300000,1.44E+08,1.97E+08
SM(d32:0),14300000,14900000,18100000,1.80E+07,24400000,18400000
SM(d32:1),4.54E+08,4.52E+08,4.94E+08,6.47E+08,6.63E+08,5.77E+08
SM(d34:0),8.54E+08,1.08E+09,1.20E+09,1.29E+09,1.22E+09,1.09E+09
SM(d34:1),9.97E+08,1.24E+09,1.52E+09,1.81E+09,1.79E+09,1.60E+09
SM(d36:2),35700000,36500000,39900000,24600000,23400000,27700000
SM(d38:1),1.24E+08,1.78E+08,2.27E+08,2.82E+08,2.68E+08,1.62E+08
SM(d38:2),16900000,31200000,32700000,1.32E+08,1.27E+08,1.13E+08
SM(d40:1),1.14E+08,1.40E+08,1.75E+08,8.95E+08,7.83E+08,5.38E+08
SM(d40:2),77200000,1.24E+08,1.26E+08,5.45E+08,5.40E+08,5.02E+08
SM(d42:1),5.04E+08,1.49E+09,1.33E+09,1.69E+09,1.63E+09,1.04E+09
SM(d42:2),3.57E+09,1.79E+09,2.35E+09,1.00E+10,9.21E+09,9.23E+09
SM(d42:3),3.59E+08,3.68E+08,6.18E+08,2.45E+09,2.53E+09,2.31E+09
SM(d42:4),36800000,85300000,20700000,1.28E+08,1.30E+08,98900000
SM(d44:1),3573149.479,23200000,26800000,1.82E+08,2.41E+08,1.35E+08
SM(d44:2),27800000,54500000,57700000,91700000,94400000,88500000
SM(d44:3),29600000,48100000,52800000,53600000,59100000,44100000
SM(d44:5),2.35E+08,5.11E+08,5.71E+08,7.41E+08,6.73E+08,6.82E+08
SM(d44:6),7215826.613,27500000,39700000,3.64E+08,3.70E+08,2.13E+08
SM(t32:1),17700000,16200000,16200000,3.40E+07,31900000,2.70E+07
SM(t34:0),58400000,92200000,80500000,1.06E+08,78600000,58600000
SM(t34:1),1.02E+09,1.15E+09,1.07E+09,1.97E+09,1.59E+09,1.29E+09
SM(t34:2),2.38E+08,2.00E+08,2.22E+08,2.86E+08,2.36E+08,2.93E+08
SM(t36:4),53200000,1.04E+08,1.09E+08,1.83E+08,1.51E+08,1.16E+08
SM(t42:6),1.26E+08,91300000,1.22E+08,3.07E+08,2.53E+08,2.18E+08
SPH(d20:1),1.76E+08,11800000,15800000,7961962.728,5534702.656,5767650.137
SPH(t20:0),57200000,28800000,25800000,9737169.074,4.40E+07,11600000
TG(12:0e_6:0_20:4),18100000,23600000,30700000,3.44E+08,2.24E+08,1.10E+08
TG(12:0e_6:0_22:5),681940.1424,1318676.555,2419720.8,31700000,11900000,9654003.675
TG(12:1e_6:0_20:4),9713716.825,16100000,7422076.973,86300000,66100000,6.60E+07
TG(16:0_10:0_16:1),968551.1964,6492661.009,11100000,1.56E+08,2.04E+08,1.85E+08
TG(16:0_14:0_14:0),5892281.53,31500000,38800000,1.64E+08,1.96E+08,1.84E+08
TG(16:0_14:0_16:0),18500000,1.11E+08,1.49E+08,4.89E+08,5.67E+08,8.20E+08
TG(16:0_14:0_16:1),7258820.992,2.59E+08,3.44E+08,2.16E+09,2.76E+09,2.58E+09
TG(16:0_14:1_16:1),9627372.226,1.94E+08,2.29E+08,2.99E+09,4.05E+09,2.81E+09
TG(16:0_16:0_16:0),37400000,2.50E+08,2.87E+08,1.11E+09,1.22E+09,1.76E+09
TG(16:0_16:0_16:1),38600000,9.13E+08,1.03E+09,4.74E+09,5.81E+09,7.39E+09
TG(16:0_16:0_18:1),50800000,1.36E+09,1.54E+09,6.69E+09,6.36E+09,7.35E+09
TG(16:0_16:1_16:1),32900000,9.77E+08,1.34E+09,8.65E+09,1.13E+10,1.15E+10
TG(16:0_16:1_18:1),50200000,2.27E+09,2.63E+09,1.23E+10,1.41E+10,1.61E+10
TG(16:0_16:1_22:5),78500000,5.27E+08,5.96E+08,1.45E+09,1.09E+09,7.83E+08
TG(16:0_16:1_22:6),8783432.983,2.63E+08,3.47E+08,8.89E+08,6.91E+08,4.64E+08
TG(16:0_18:1_18:1),72200000,2.66E+09,3.19E+09,1.36E+10,1.06E+10,1.21E+10
TG(16:0_18:1_20:4),24800000,9.00E+08,6.15E+08,2.20E+09,1.60E+09,1.52E+09
TG(16:0_18:1_22:1),0,1.27E+08,1.40E+08,4.86E+08,3.66E+08,4.54E+08
TG(16:0_18:1_22:3),8886868.546,8.63E+08,9.93E+08,1.68E+09,1.22E+09,1.45E+09
TG(16:0_18:1_22:5),21900000,9.20E+08,1.17E+09,2.80E+09,1.63E+09,1.55E+09
TG(16:0_18:1_22:6),8689011.183,4.43E+08,5.55E+08,1.59E+09,8.79E+08,8.64E+08
TG(16:0_18:1_24:0),0,12400000,17700000,60300000,50700000,54900000
TG(16:0_18:1_24:1),559741.708,71300000,71100000,2.68E+08,1.95E+08,2.54E+08
TG(16:0e_16:0_18:1),0,42700000,49400000,1.95E+08,1.48E+08,2.09E+08
TG(16:1_12:0_16:1),2102915.147,30400000,19500000,7.07E+08,8.81E+08,6.23E+08
TG(16:1_12:1_18:2),6159945.438,0,218626.83,23600000,19400000,49300000
TG(16:1_14:0_14:0),2899284.297,41800000,53500000,6.30E+08,7.38E+08,5.43E+08
TG(16:1_14:1_16:1),1322993.602,55300000,70600000,9.74E+08,1.42E+09,1.07E+09
TG(16:1_14:1_18:2),1966940.433,59600000,68200000,6.40E+08,8.27E+08,5.23E+08
TG(16:1_14:1_18:3),1.30E+07,22200000,1.80E+07,76100000,90100000,48900000
TG(16:1_16:1_16:1),16500000,3.49E+08,4.03E+08,4.91E+09,7.32E+09,5.20E+09
TG(16:1_16:1_18:1),45900000,1.06E+09,1.15E+09,9.70E+09,1.26E+10,1.10E+10
TG(16:1_16:1_18:3),5682124.491,39100000,50700000,3.12E+08,3.94E+08,2.45E+08
TG(16:1_16:1_22:6),2214268.68,33600000,59600000,2.72E+08,2.58E+08,1.77E+08
TG(16:1_18:1_18:1),75200000,2.30E+09,3.19E+09,9.20E+09,9.56E+09,1.06E+10
TG(16:1_18:1_18:2),75300000,7.50E+08,1.46E+09,1.97E+09,2.54E+09,2.21E+09
TG(16:1_18:1_18:3),32900000,2.63E+08,3.89E+08,7.05E+08,9.21E+08,5.32E+08
TG(16:1_18:1_22:3),17600000,2.47E+08,1.39E+09,4.55E+08,5.63E+08,1.73E+09
TG(16:1_18:1_22:5),10300000,4.11E+08,5.78E+08,1.32E+09,9.31E+08,5.59E+08
TG(16:1_18:1_22:6),7762848.455,2.65E+08,3.31E+08,9.67E+08,5.78E+08,3.25E+08
TG(16:1_18:2_22:6),764554.2363,28100000,47900000,86200000,56200000,32600000
TG(18:0_16:0_16:0),4669502.066,3.85E+08,2.21E+08,9.50E+08,1.03E+09,1.20E+09
TG(18:0_16:0_18:0),8404617.706,64200000,78400000,1.38E+08,1.43E+08,1.36E+08
TG(18:0_16:0_18:1),13600000,4.73E+08,5.68E+08,1.83E+09,1.37E+09,1.67E+09
TG(18:0_18:0_18:0),3507421.662,32600000,29600000,67900000,71500000,82300000
TG(18:0_18:0_18:1),2352805.938,89900000,1.09E+08,3.00E+08,2.32E+08,2.68E+08
TG(18:0_18:1_18:1),13500000,7.59E+08,8.87E+08,2.65E+09,1.89E+09,2.34E+09
TG(18:0_20:3_24:1),0,25300000,2905226.064,63100000,45700000,55300000
TG(18:0e_16:0_16:0),0,1468325.327,1878901.454,13600000,7537751.429,12300000
TG(18:0e_18:1_18:1),0,19500000,19100000,8.40E+07,65700000,82600000
TG(18:1_14:2_22:6),0,2701834.785,3461636.365,22600000,21500000,6975373.198
TG(18:1_18:1_18:1),57100000,1.67E+09,2.09E+09,6.54E+09,6.79E+09,6.43E+09
TG(18:1_18:1_18:2),1.09E+08,4.57E+08,1.49E+09,1.98E+09,2.00E+09,1.76E+09
TG(18:1_18:1_22:1),0,1.09E+08,1.29E+08,4.07E+08,2.99E+08,3.83E+08
TG(18:1_18:1_22:2),0,1.63E+08,1.99E+08,1.49E+08,3.17E+08,3.77E+08
TG(18:1_18:1_22:4),3508519.099,1.34E+08,1.36E+08,3.16E+08,2.12E+08,1.67E+08
TG(18:1_18:1_22:5),1.40E+07,4.46E+08,5.36E+08,1.18E+09,7.03E+08,8.37E+08
TG(18:1_18:1_22:6),5905564.76,3.76E+08,3.82E+08,1.18E+09,6.56E+08,5.27E+08
TG(18:1_18:1_24:0),0,33800000,4.40E+07,1.20E+08,91800000,1.26E+08
TG(18:1_18:1_24:1),548247.527,74100000,73500000,2.49E+08,1.88E+08,2.29E+08
TG(18:1_18:1_24:2),0,74500000,7459269.675,1.46E+08,1.00E+08,1.18E+08
TG(18:1_18:2_22:6),2581500.564,1.21E+08,1.77E+08,2.54E+08,1.19E+08,61300000
TG(18:1_20:4_24:1),0,44700000,58500000,1.48E+08,64500000,99600000
TG(18:1_22:5_22:6),0,26400000,37400000,1.17E+08,45900000,29600000
TG(18:1_22:6_22:6),0,6778624.855,10600000,31700000,15700000,6957515.2
TG(18:1e_16:0_18:1),784003.353,1.38E+08,1.52E+08,5.21E+08,3.78E+08,5.13E+08
TG(18:1e_16:0_22:3),564692.825,16600000,26200000,62300000,50100000,52600000
TG(18:1e_16:1_18:1),0,76500000,81100000,2.61E+08,2.12E+08,2.61E+08
TG(18:1e_18:1_18:1),0,40400000,58200000,2.01E+08,1.42E+08,1.89E+08
TG(18:1e_18:1_22:5),0,40800000,42800000,1.58E+08,90800000,1.16E+08
TG(18:4_14:1_16:1),50365.2492,2582689.622,338377.833,14100000,6836764.463,7468552.563
TG(20:0e_18:1_18:1),0,2458098.578,2032408.441,42300000,2.80E+07,41600000
TG(20:1_18:1_18:1),2985096.794,3.96E+08,4.00E+08,1.45E+09,9.50E+08,1.05E+09
TG(20:1e_14:0_14:0),0,20700000,21200000,77300000,64500000,1.00E+08
TG(20:1e_16:0_16:0),0,16900000,2.00E+07,86600000,53500000,8.60E+07
TG(20:3e_16:0_18:1),0,30600000,34100000,1.02E+08,66200000,79100000
TG(4:0_14:0_16:0),7186868.242,0,0,0,0,386696.69
TG(4:0_16:0_16:0),2096823.438,1641115.759,2525349.497,1519632.71,1471225.939,4435618.745
TG(4:0_16:0_18:1),424710.7836,1262839.462,2289100.768,8805080.671,15100000,26900000
TG(8:0_8:0_8:0),8115132.567,20200000,14400000,12500000,20200000,21600000
