"lipidName","SXY_FDUhhuang_191_pos","SXY_FDUhhuang_197_pos","SXY_FDUhhuang_221_pos","SXY_FDUhhuang_270_pos","SXY_FDUhhuang_283_pos","SXY_FDUhhuang_428_pos","SXY_FDUhhuang_429_pos","SXY_FDUhhuang_430_pos","SXY_FDUhhuang_433_pos","SXY_FDUhhuang_439_pos","SXY_FDUhhuang_444_pos","SXY_FDUhhuang_445_pos","SXY_FDUhhuang_450_pos","SXY_FDUhhuang_454_pos","SXY_FDUhhuang_461_pos","SXY_FDUhhuang_464_pos","SXY_FDUhhuang_472_pos"
"SM 46:9;3O",37849,18742,22950,2126,29607,2347,16155,28579,13404,42865,16029,9058,32309,38239,29631,8573,32192
"SM 48:11;2O",15623,9094,29911,47858,8876,24629,41098,27399,7704,20820,6071,35768,20450,33491,42256,91289,11638
"SM 48:5;2O|SM 18:2;2O/30:3",2628614,55149,769021,74562,1108867,184180,990875,2240419,19807,1320517,263828,380233,187948,2234076,206029,43738,811208
"SM 48:6;2O",82349,21033,39933,24915,80046,13806,44733,13573,62276,26966,27703,9718,68368,219160,63064,13038,13041
"SM 48:6;2O|SM 18:3;2O/30:3",101867,36293,394083,70895,243792,19081,110361,207849,28800,139805,10811,289446,234083,100257,52969,238667,338893
"SM 48:6;3O",41301,55230,11222,139980,503499,4191206,333508,113215,324330,114643,4208891,9080,120341,430503,1785088,18723,10475
"SM 48:8;3O",151931,66949,1103,50213,1324909,5583,167664,139714,426525,173212,82859,9692,35244,341841,46362,4895,25678
"SM 50:11;2O",193,15102,809,259354,807,1322530,67565,20777,2484,1892,7437507,NA,683,71440,1383172,312,852
"SM 50:13;2O",26472,18302,47437,43422,164458,10967,63842,59952,130890,18429,8431,22903,175782,128546,13495,145754,52984
"SM 52:12;2O",NA,NA,1265,NA,1441,2177684,4376,15204,NA,72003,5057704,753,9,6027,280770,NA,752
"SM 54:3;3O",146267,49634,196130,60167,114752,32602,62787,65123,17121,286545,9276,250373,241340,187395,92468,79466,113897
"TG 24:0|TG 8:0_8:0_8:0",497217,763396,580599,959513,578958,892261,590997,3328136,1570023,452140,1458144,380446,332869,252446,565755,545226,305230
"TG 26:0|TG 8:0_8:0_10:0",39326,15088,123007,99006,233949,2064133,121475,458661,108531,55482,1545083,28462,22416,284851,432604,24768,48579
"TG 28:0|TG 8:0_10:0_10:0",33237,19839,60714,226990,286936,888427,156963,199154,317950,13000,730902,9969,8518,414152,332043,14816,53351
"TG 28:0|TG 8:0_8:0_12:0",28773,10893,9629,35698,15894,105191,27909,1328199,47972,3540,83737,9159,30655,40732,29045,11382,6861
"TG 30:0|TG 8:0_10:0_12:0",6490,536,3904,13059,4099,33368,34894,2891512,44325,143,112521,11137,8542,23440,43647,601,450
"TG 30:0|TG 8:0_8:0_14:0",15372,10069,1976,239050,4781,188925,8926,1770980,151916,9500,407134,36373,7408,44959,134355,22977,16366
"TG 36:0|TG 10:0_12:0_14:0",14585,2574,36465,86249,719,233464,208905,1661067,21759,2266,524971,12461,14466,268389,302053,12218,5021
"TG 36:0|TG 12:0_12:0_12:0",154059,5695,200383,660749,296528,4463028,825294,26806682,732916,74220,4667826,213379,114430,1156923,1424660,67566,121461
"TG 38:0|TG 12:0_12:0_14:0",344356,50943,248988,611488,344120,4213192,1877841,27675790,753884,97859,3062166,311962,280331,1121228,593640,172490,176053
"TG 40:0|TG 8:0_16:0_16:0",836154,223547,440486,1512480,55191,1828669,6878737,20888450,458915,396514,1852362,470594,465032,1447292,1706729,286484,303568
"TG 40:1|TG 10:0_14:0_16:1",483269,34448,59816,2079024,60822,18704662,3481273,2109228,1758886,75036,17812346,25270,194607,4226705,3467034,50324,20961
"TG 42:0|TG 10:0_16:0_16:0",315693,314044,287427,33196,640537,41667,535728,256428,2786808,105693,14410,169809,246274,229724,52952,80629,122892
"TG 42:1|TG 8:0_16:0_18:1",1770964,937134,370442,276799,335918,594134,8960229,407338,355118,1401364,837972,403426,625522,630653,537722,397719,378671
"TG 44:0|TG 12:0_14:0_18:0",267399,68211,294018,222006,101220,318296,324132,9402423,460842,228796,253235,249539,221983,420439,220842,397694,337174
"TG 44:1|TG 12:0_16:0_16:1",1337579,199719,147691,225510,771812,62861,2957882,202776,2580028,102813,284618,180571,779606,126124,63836,1729980,738877
"TG 46:0|TG 10:0_18:0_18:0",71411,122268,33184,88239,112674,283162,127218,53582,138572,261061,342985,34926,21578,275089,400631,54820,44054
"TG 46:1|TG 12:0_16:0_18:1",114980,17801,5678,921974,50644,97907,491153,140852,587484,6190,349726,15029,22739,1554759,270946,32183,7015
"TG 46:2|TG 10:0_18:1_18:1",139051,765300,42333,159557,27793,101754,79222,247128,393064,646074,118089,27939,39499,502651,409009,105915,80669
"TG 46:2|TG 12:0_16:1_18:1",1821351,1879733,1229807,1802336,201157,339395,5920082,2994087,5979306,1177542,237645,1326854,1451008,1899407,2176756,1916809,978258
"TG 46:3|TG 10:0_18:1_18:2",53009,215553,2811,16741,7068,40640,25125,49405,24503,2251038,15261,734,8054,70106,454666,7869,1826
"TG 46:3|TG 12:0_16:1_18:2",248294,216067,44333,698926,246429,385217,2404375,993800,924236,172012,2257777,237257,308118,802234,929100,403200,173427
"TG 46:3|TG 14:1_14:1_18:1",87482136,62068672,88766680,79741656,102450880,78372944,82859048,91226456,55515928,93626880,99057512,71924128,82275984,94862752,82772024,94164496,81478504
"TG 46:3|TG 14:1_16:1_16:1",422020,217556,252448,816728,57788,2240536,2588274,922076,727230,171580,1910754,250438,70048,877917,822763,81401,191510
"TG 46:5|TG 8:0_16:0_22:5",27738,124,13427,20395,4062,92073,489083,34190,11122,37401,89324,3610,68438,141393,92934,3423,37982
"TG 46:6|TG 10:0_18:3_18:3",167355,208129,78324,126998,34840,100863,97775,138334,98059,1445942,182276,55645,83853,367407,351672,97195,57128
"TG 46:8|TG 10:0_18:4_18:4",5216,973241,40514,61482,106297,4573,124599,122932,10405,1290521,40769,14927,4242,65232,449988,17438,37880
"TG 48:3|TG 12:0_18:1_18:2",353791,237373,100287,104890,406164,735227,809961,1245528,825431,275617,587926,351465,104103,1076265,469395,142939,641050
"TG 48:3|TG 14:1_16:1_18:1",349713,434233,166290,239360,88359,3226162,1224921,637400,1348105,326355,3051978,152083,194010,1072102,386600,240371,118740
"TG 48:4|TG 12:0_18:2_18:2",469341,978586,114283,429019,335704,1001796,2573804,861573,2180826,83975,734126,105925,277826,651997,598012,336841,103786
"TG 50:1|TG 16:0_18:0_16:1",89113,188488,41598,110594,9953,2621420,371338,323270,760543,38649,2034679,20273,75705,72667,343721,126045,27396
"TG 50:3|TG 16:0_16:0_18:3",1186562,981781,105922,239184,53578,4001730,770233,1173371,6641835,116306,3038986,99296,196130,819620,288571,492366,114082
"TG 50:3|TG 16:1_16:1_18:1",9729773,44655524,3249994,9594385,1227194,26186778,37156268,29466584,75623832,3438874,14142157,1830648,8695335,6393664,7712313,28814884,2059629
"TG 50:5|TG 14:0_18:2_18:3",880535,1334836,85933,512246,61668,5294070,3665780,984109,4019357,53390,4851134,51328,81425,891789,1300190,600548,43401
"TG 50:6|TG 16:0_16:3_18:3",179314,166510,11495,183488,49272,404083,1262675,60853,358717,218687,72740,6324,65498,208743,332490,19978,9361
"TG 52:0|TG 16:0_16:0_20:0",29004,2861204,1853,8698,7575,45394,85444,633801,54368,6159164,19266,5807,7593,592914,1230978,593376,21461
"TG 52:1|TG 10:0_24:0_18:1",389425,280413,68136,138741,418757,141794,572347,72889,693459,95611,110369,86367,357856,566232,201391,285183,363383
"TG 52:2|TG 16:0_16:0_20:2",5916,320723,3178,5591,30853,564428,175505,108675,6359,2682810,767483,1223,10670,502776,2693707,6866,6980
"TG 52:2|TG 16:0_18:0_18:2",2174425,82314096,3312611,12970419,11674174,17087644,45159892,7628186,101458472,5903644,35541660,1668384,7673424,10198316,14573427,44086404,2563860
"TG 52:2|TG 18:0_16:1_18:1",1480,12407937,1633,2220,2190,NA,67173,155151,10689,11792226,12779,825,1427,1022428,8473014,19711,33483
"TG 52:2|TG 8:0_18:1_26:1",1747,23792260,4177,101915,3819,4075,123951,497085,34085,18001996,22079,2110,453,2275752,14542331,152908,67910
"TG 52:3|TG 16:1_18:1_18:1",3452,92546,1552,4018,723,11443,44968,60758,4115,977491,NA,68,675,20097,736812,1850,2066
"TG 52:4|TG 16:0_16:0_20:4",64024,757018,124419,416118,577638,189333,2354222,140478,926386,37156,218452,14202,251369,398609,1171926,1272173,7968
"TG 52:4|TG 16:0_18:1_18:3",29981,854925,7229,25305,19836,242006,11023,1479644,135662,2196036,69848,4230,17665,306563,1419080,278125,26481
"TG 52:5|TG 14:0_18:0_20:5",1224,124,1892,3347,8049,961786,74003,61956,1447,24162,3209576,3529,3460,14925,156268,169,5202
"TG 52:6|TG 14:0_16:0_22:6",74795,191078,16792,55918,18501,189020,179970,89216,438114,41948,61272,7400,75124,79193,12614,30646,7426
"TG 52:6|TG 16:0_18:2_18:4",879391,2296350,137667,234564,82985,118118,2996486,496901,3309693,2475946,85688,75026,309777,568448,3212848,346034,132010
"TG 52:6|TG 16:1_18:2_18:3",404206,1684552,168448,579890,195571,8069380,2533833,780435,2504838,73825,7526351,73758,212375,1033449,2328131,283861,33145
"TG 54:1|TG 16:0_20:0_18:1",1161309,23380876,401888,2602102,77176,15255561,5003992,680764,9919499,5556074,12479308,274191,886453,3973668,6536842,14380750,1015896
"TG 54:4|TG 16:0_18:2_20:2",4200,34760,16577,13250,99530,1745270,36310,70563,19255,57630,704191,829,4848,90876,235622,29843,139521
"TG 54:4|TG 18:0_18:1_18:3",30923,238230,11763,46595,18145,2660089,95850,348292,607655,23411,2797436,5047,16038,183227,562032,84497,9300
"TG 54:4|TG 18:0_18:2_18:2",2494906,16755849,584792,3831420,792328,69228552,6651126,17701326,18551900,1414591,117391376,314352,975422,13825358,9240881,4135424,360662
"TG 54:5|TG 16:0_20:2_18:3",15925,6079,2769,43102,10478,2558768,66775,13774,13721,13748,9594087,2096,686,121505,396936,386441,125964
"TG 54:5|TG 18:1_18:1_18:3",81638,361941,12033,15297,108522,55381,27446,235098,120322,902035,6594,17297,2077,187447,311753,78743,15493
"TG 54:6|TG 16:0_16:0_22:6",189223,1274506,73744,211811,21538,629688,706015,78005,2027666,118526,50879,71442,317431,143683,131425,222124,50989
"TG 54:6|TG 16:0_18:2_20:4",3327799,15904049,560943,1517293,368258,6461387,13431934,1695404,19136810,1242077,2908470,383654,1671950,1687599,2526268,1545681,289898
"TG 54:7|TG 16:0_18:2_20:5",908856,3730111,149453,332772,146647,342544,3502188,124179,3917774,1288284,327885,74256,651785,447879,2783463,252865,67967
"TG 54:8|TG 14:0_20:3_20:5",4151,135996,344,17792,3224,252076,29379,54882,10723,78955,3539742,1800,754,22260,487257,1028,477
"TG 54:9|TG 18:3_18:3_18:3",15601,45505,1003,43653,7044,562167,44210,23394,45778,81110,423974,4989,5288,39306,173112,4064,3303
"TG 56:1|TG 16:0_22:0_18:1",64534,5228901,45288,458773,73271,2975437,91531,41217,1015433,1515063,3245041,92438,87011,1133061,1908142,895272,164527
"TG 56:10|TG 18:2_18:3_20:5",2296,6390,7086,24211,29443,748998,12526,68371,38429,60751,2571803,1000,25609,85709,235236,1871,18763
"TG 56:2|TG 16:0_16:1_24:1",21894,1092561,41857,298795,7359,3407051,181746,27127,337238,244409,2827570,71290,31823,325587,590309,89276,70433
"TG 56:4|TG 18:0_18:0_20:4",108914,393802,12041,51981,186361,111907,340343,31520,326228,82253,15609,22140,55127,25506,34177,134051,19476
"TG 56:5|TG 16:0_18:1_22:4",833455,4696282,201258,617328,119200,1927411,4238178,802566,4675204,286205,448478,147960,706888,224178,86465,1948971,157986
"TG 56:5|TG 18:0_18:0_20:5",47138,16414,3649,35161,17979,3133794,121774,71439,13654,39795,11541755,1408,3478,140256,366990,221018,112623
"TG 56:5|TG 18:0_18:1_20:4",587993,7753750,277307,717906,159166,3523642,3921040,548065,5984738,139762,2610017,273917,597163,861571,936124,183192,96697
"TG 56:6|TG 16:0_18:0_22:6",2828,580163,3972,39,11992,2746352,19319,75778,NA,1425080,1356861,2160,18276,1076357,7805565,4839,30774
"TG 56:6|TG 16:0_18:1_22:5",5851,7846856,389,1465,NA,66241,119416,1513626,21388,4629524,52378,359,899,1104518,4983475,344708,16028
"TG 56:7|TG 16:0_18:2_22:5",1882,265032,903,4036,428,3921,10386,8372,12955,448599,13172,80,936,5791,750983,11448,1711
"TG 56:7|TG 18:0_18:2_20:5",14526,150367,5255,122557,6068,29816380,350505,29959,170461,48936,75559688,2534,5182,341992,4224313,168597,11393
"TG 56:7|TG 18:0_20:2_18:5",8119,6811,2043,19720,1875,9856629,69955,36287,64,115167,18467198,538,2959,63743,1764364,9725,21324
"TG 56:7|TG 18:2_18:2_20:3",5390,1309977,5571,51052,3143,17609754,39405,180297,47858,380977,22708752,1186,7494,46114,3289316,18663,9679
"TG 56:7|TG 18:2_20:2_18:3",33564,357208,6343,67729,46300,1694077,176901,111812,34664,123390,1052848,6881,1936,587886,210425,202309,13409
"TG 56:7|TG 20:1_18:3_18:3",9433,15881,9720,132953,8890,11087404,263239,62196,55457,81009,28008420,3828,4109,249228,1886177,41316,6134
"TG 56:8|TG 16:0_16:2_24:6",NA,11876,NA,3032,NA,978484,NA,190,NA,13172,21440908,NA,NA,NA,276353,NA,NA
"TG 56:8|TG 16:0_20:3_20:5",4536,7633,1647,45210,1869,28792904,227548,37683,4780,275997,79627936,3420,2647,161953,3998088,4953,4804
"TG 56:8|TG 18:0_18:3_20:5",2911,3276,820,48973,8658,4943196,78141,48356,971,216853,14906919,3540,3369,40412,935242,14015,1355
"TG 56:8|TG 18:1_18:2_20:5",239844,3192106,62037,488901,333708,153485,583937,622459,676019,622860,79903,21509,454135,125673,884594,115349,73172
"TG 56:8|TG 20:2_18:3_18:3",NA,21480,4190,7573,NA,1534711,15998,12581,NA,39368,4411248,NA,NA,2231,232869,NA,NA
"TG 56:9|TG 16:1_18:2_22:6",205060,441939,33155,31823,98386,228880,252376,172908,604639,63502,70497,8702,192952,91466,65425,24249,14486
"TG 56:9|TG 18:1_18:3_20:5",2403,16032,1697,13003,5360,1866418,49946,31107,10678,31443,1099739,67,4413,91554,380259,50384,4135
"TG 58:10|TG 18:2_18:2_22:6",51531,1055098,9384,108335,1100140,182711,1034916,22629,1241772,61259,76476,28090,305072,174758,163523,95985,2852
"TG 58:10|TG 18:2_20:4_20:4",199958,1090979,44301,108983,190632,22262,974792,239123,1292378,384316,50355,31529,302167,160885,122617,114172,23192
"TG 58:10|TG 20:2_20:3_18:5",1795,10685,4080,1976,894,2592010,14678,50406,2984,106302,2310177,636,1604,20238,211012,15191,35026
"TG 58:11|TG 22:3_18:4_18:4",830,147485,500,18635,1152,574299,3673,5849,9183,109217,8104041,150,NA,2882,423730,701,1209
"TG 58:2|TG 18:0_20:1_20:1",8487,238380,14315,13644,25475,19023,80492,60123,48237,655063,5154,2384,25767,167681,174056,665669,131580
"TG 58:2|TG 22:0_18:1_18:1",11300,14216251,41606,232702,10959,517861,114670,4718,635497,3993920,687274,35469,30142,1855758,4656224,375825,181495
"TG 58:3|TG 18:1_18:1_22:1",63695,552953,49341,185727,62567,1509962,253640,61151,734446,120446,381129,20569,24321,268734,192518,6821116,229123
"TG 58:3|TG 22:0_18:1_18:2",89081,2215885,11819,121607,5890,1108375,112805,39075,247253,598795,685795,3646,19506,404314,866363,75767,25063
"TG 58:4|TG 18:1_20:1_20:2",39883,589643,35504,162002,22565,203106,259217,361036,65541,19444,339591,14852,42436,150403,116245,1441688,74804
"TG 58:4|TG 18:1_22:1_18:2",58862,101251,1883,23669,11413,904020,24652,148491,438941,10872,55410,4068,8433,31955,9681,225311,10456
"TG 58:4|TG 22:0_18:2_18:2",23595,452833,8269,73475,14207,1330796,62369,28952,110583,185730,980423,4551,12952,116269,305359,42333,7063
"TG 58:5|TG 18:0_18:1_22:4",82846,471412,16101,100217,25844,267535,517666,49297,270033,59401,76211,31692,106275,96228,41704,76634,15965
"TG 58:5|TG 18:1_18:1_22:3",112797,280753,32828,158075,12102,1823687,263277,271034,385131,59496,128682,24391,82307,141931,86594,728446,161903
"TG 58:6|TG 16:0_18:1_24:5",157550,878838,65261,107617,175352,48296,631129,462143,741633,94646,9878,47787,132455,26357,102098,64396,44314
"TG 58:6|TG 18:0_18:0_22:6",9210,13651,5942,24903,29063,1582702,42956,95394,20203,46081,5131104,1798,6251,120083,418443,225591,43519
"TG 58:6|TG 18:1_18:1_22:4",193559,281774,45992,301814,235610,2104276,686114,82786,207291,88456,721371,48907,203518,265538,313063,349113,10589
"TG 58:7|TG 18:0_18:2_22:5",8177,64328,3374,25040,7211,635942,20751,11426,12223,212149,2875773,2225,4013,34283,205247,35127,11643
"TG 58:9|TG 18:1_16:2_24:6",5608,6488,NA,21461,NA,1763002,NA,169,NA,51421,18332644,NA,NA,11887,266361,NA,NA
"TG 58:9|TG 18:1_18:3_22:5",21878,46797,3165,9590,19012,8856463,21256,3896,85255,29988,3771495,1603,9675,12226,1067761,2920,2123
"TG 58:9|TG 18:3_20:3_20:3",NA,59495,318,47,677,379257,22289,13613,NA,539446,4121487,199,NA,24766,216220,16,2660
"TG 60:1|TG 18:0_24:0_18:1",68436,22389,568180,NA,27223,7240,2420,30932,22561,269629,NA,7445,50759,17462,1557,13634,25099
"TG 60:10|TG 18:0_20:5_22:5",3859,34308,4477,21742,1705,9259007,43912,11069,31415,21957,3267020,535,523,46162,979161,50114,6474
"TG 60:11|TG 20:3_20:3_20:5",1118,30775,707,2159,NA,443488,7406,20129,195,40085,213524,293,252,1412,245527,2440,2416
"TG 60:2|TG 18:0_24:0_18:2",59496,99613,571218,19115,12498,7114,40485,44165,73121,715978,NA,2936,16801,157373,232125,60411,78783
"TG 60:3|TG 24:0_18:1_18:2",13620,598662,9657,33972,37873,367355,53858,73108,117086,166513,227823,3346,1496,110836,196778,6250,13187
"TG 60:4|TG 24:0_18:2_18:2",7437,217326,2397,9928,11045,473372,12299,5858,60443,17880,457022,1917,3284,47536,26355,2244,4363
"TG 60:8|TG 20:2_20:3_20:3",2726,7222,953,8889,264,11092392,6937,27284,793,297414,18104448,2557,4431,13432,1677680,525,10928
"TG 60:9|TG 20:3_20:3_20:3",588,27197,1091,57640,4807,4263673,50059,38692,15273,23138,2744699,36,NA,16883,513123,973,1202
"TG 62:12|TG 18:1_22:5_22:6",6972,61431,2418,320402,2657,1294963,240163,31274,51300,83086,2405862,3229,3537,4456,1511023,709,1456
"FA 16:0",130546,131815,191043,193242,167912,226818,217487,219288,161505,160365,582002,178716,206356,222480,208540,111836,225491
"FA 16:1",19558,11968,20299,15283,16670,23240,23711,17424,14351,14135,30283,21675,23328,21130,21795,23002,13685
"FA 18:0",247252,214311,303890,209388,281549,284944,318906,294585,211905,227523,732619,275064,319032,310661,315208,203277,303866
"FA 18:1",146210,91798,147872,137414,139166,167997,151351,151358,105585,118349,220973,152776,163753,160991,156748,98482,169025
"FA 18:2",20239,12766,18361,15481,15618,28290,24920,17977,17999,16518,44147,20792,24498,22529,23163,20034,22902
"FA 26:2",60,31,339,47710,564,28303,5883,1203,5563,45,46912,2,22,6124,138714,54,156
"FA 28:2",2,43,105,13448,90,258665,10008,13361,8483,4,236520,4,45,5391,178884,30,33
"FA 28:3",NA,NA,37,15041,56,22184,12577,3450,12601,17,51476,36,NA,2073,18353,69,56
"FA 28:7",6863,6155,7316,5658,8364,7413,8109,6520,7025,6599,9338,7336,7841,8129,7103,7046,7206
"FA 30:1",594,5957,1584,13534,658,319460,16365,30724,56963,190,193368,85,337,20321,23954,2152,307
"FA 30:3",204,126,51,16678,6,112628,65915,3903,23600,13,75352,11,5,3798,13743,NA,274
"FA 32:2",196,283,165,27980,221,131892,30108,12318,4855,77,112676,19,163,7449,18265,272,63
"FA 38:5",44545,41359,49146,26644,49008,44815,36936,47771,47315,41032,38405,63902,54871,48213,43081,45489,57136
"FA 42:10",1313,2672,6676,748,1656,4217,1651,895,1311,1817,3415,2461,1436,4988,362,21522,14427
"FA 42:8",2556,11857,14286,1626,753,7076,14726,12529,16389,1812,8550,10661,12093,3647,842,12275,14598
"FA 44:10",30301,7845,2956,236,151,10386,10259,2641,6159,24109,1159,1136,4458,35290,490,4928,3451
"FA 44:7",316,3991,153,312,NA,305,32817,6815,10687,101,85,168,233,155,233,101,1853
"PE 36:2|PE 18:0_18:2",20203,70899,2177,1025,4906,2016,23726,8803,163304,1516,2998,2297,3265,16680,1685,10502,3916
"PE 38:3|PE 18:0_20:3",16271,18673,7225,6630,8529,5392,13427,7443,25760,5846,2185,7657,13078,3007,7051,8905,3649
"DG 16:0",46762,357188,30792,567771,38735,192958,212188,227436,42982,504267,123228,20464,65162,189776,392910,57441,36005
"DG 20:0",24751,10116,65210,1094047,84412,46808980,701224,489347,1383268,9234,62259944,44000,32501,1557952,25573486,36723,30605
"DG 22:1",40,8691,103,199689,440,280482,201686,19421,408,2675,2112450,210,NA,3055,4818,3623,1509
"DG 24:0",NA,25183,641,273,134,61783,41145,8106,NA,1403982,62499,681,253,86151,926147,15977,6945
"DG 24:1",811463,1014500,3094574,1772776,20108,1240336,2271018,1059698,1540435,1767691,1539415,665663,2757039,3356896,1269916,528462,1093061
"DG 24:2",605,NA,815,1298,499,48284,2428,126,7257,415,427641,417,675,9435,39774,69,294
"DG 24:3",NA,103777,21,87580,529,76707,393491,75814,2549,75590,974624,104,667,9828,106707,NA,1667
"DG 26:1",24244,11187,747104,590298,11011289,33760,2937766,1561952,67452,2108289,101897,695206,61107,3587260,1738884,8808,132626
"DG 26:3",18973,39315,543,26829,3431,16101,22213,30309,28104,6814,NA,357241,4854,6630,9503,4490,3855
"DG 26:5",143708,32380,87561,134841,101717,154754,205281,99431,218285,81416,306631,46849,34889,187045,269075,60285,85649
"DG 28:1",NA,496364,9,4363,922,35606,8009,20095,1116,124684,46232,NA,695,15135,248899,363,NA
"DG 28:2",371326,247058,180209,475833,139861,146769,898930,806744,742050,182228,359083,221259,185337,168651,178807,113039,419401
"DG 28:3",20033,1537011,1347697,157308,1240344,1465903,324691,27746,334200,20409,864356,1296990,36040,549785,6223,2894305,1617669
"DG 30:0",5136,NA,8693,3115,9670,1634397,31195,29855,28866,1776,9994340,2035,1577,78142,1814798,NA,1836
"DG 30:1",18492,3523,20793,128179,17427,29488958,170245,657678,311328,669,27654472,1745,2516,2940315,4069842,7502,11180
"DG 30:2",780,6133,3956,153851,3126,54372240,21655,313656,122326,1315,51481428,3969,1351,92075,3050167,1462,3681
"DG 30:3",2330,NA,2771,19898,971,419141,30329,3500,14597,321,609286,1503,914,56047,55270,417,3621
"DG 30:4",525341,178908,377209,262997,536409,182866,416081,344650,396072,301821,313651,239039,293557,501523,267914,280960,293130
"DG 32:0",1555578,174491,3680114,1138517,3597417,38113,4581994,3001188,744217,863460,179127,4611563,3498881,1112299,799612,1145291,3205388
"DG 32:0|DG 16:0_16:0",3949389,1819410,4819324,2257940,8064981,382251,8954780,9434820,1034216,6186018,3121444,4141047,2573394,2650095,2351936,801867,4808164
"DG 32:1",142161696,59545124,79061192,85912160,133709608,58171568,108796448,108366640,102091376,105622504,56304472,43225476,62364808,116356800,73687880,67549632,68039392
"DG 32:2",4325,NA,3494,15534,16728,1779136,35601,42278,280494,6180,881185,24180,13593,66724,1484621,4684,5157
"DG 32:3",33201,6190,11223,365165,29078,3243381,250955,32138,583162,14318,1841288,16931,14044,770064,920866,19805,21561
"DG 32:4",71161,109004,133989,391683,49515,40478,687227,201343,327181,102532,311568,32871,70510,67432,186420,33317,43913
