"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"Cer(14:0)",6126775.2145,6802813.7425,5300868.76575,5916264.29465,5624198.435,6142355.765
"Cer(16:0)",26325403.7168625,26155750.72075,22629419.6986875,22333341.187375,27466023.239625,25941521.9256
"Cer(18:0)",9832810.08154286,7927804.74475714,7204279.69385714,9332122.61597143,8978702.95147143,8672163.21898571
"Cer(18:1)",1021272.81486,1695805.23676,2552715.25466,3601980.33114,2561250.91326,3260615.91816
"Cer(18:2)",117779.1315,219315.4591,376478.772,608539.89,548773.5425,669713.552
"Cer(20:0)",19200000,1.4e+07,1.2e+07,12200000,1.4e+07,18500000
"Cer(20:1)",3835267.691,3512371.2025,4307031.337,5815611.9845,5074373.879,5074917.2955
"Cer(20:4)",20700000,1.1e+07,11800000,16300000,10200000,7652644.301
"Cer(22:0)",17601107.27951,32074680.8992,27547040.3837,30430438.13806,40022250.5541,41278387.1796
"Cer(22:1)",19947571.3273333,20588433.8296667,17923856.1853333,18738628.6053333,21142505.255,20092334.7503333
"Cer(22:2)",2107166.207,235900.2153,1073446.971,1974391.573,2669154.96,1754194.802
"Cer(24:0)",52415476.6307778,110613513.810667,143164695.863889,181151532.265889,184404413.189333,199500968.685889
"Cer(24:1)",82478861.233,92510305.81592,80516469.8174,85258685.68938,90448200.72504,84412935.9356
"Cer(24:4)",1533006.461,389484.705,991546.54,1127706.2,580744.005,721632.436
"Cer(26:0)",10559563.41025,21287883.419875,26432357.727125,35289757.755125,37212679.353875,31840522.09975
"Cer(26:2)",956465.509,347885.9562,28049.3115,217917.6456,980171.262,128575.2423
"Cer(26:4)",2941210.18,1298296.443,552075.5991,1748836.145,1833579.2,357210.288
"Cer(d16:0)",1612853.532,71700000,12100000,2790465.932,76700000,93700000
"Cer(d16:1)",2620582.567775,3366261.60815,2184467.40825,2875936.294625,4711041.7953,4186073.20275
"Cer(d18:0)",12454038.1514,14169857.9448,12688680.4787,12203094.96206,12868444.8002,11799667.5448
"Cer(d18:1)",42959181.9092,47401057.3932211,44182938.5926211,50333141.4173105,52255071.8541579,50273889.1172895
"Cer(d18:2)",12747269.0715818,13289484.0828636,12864363.3877455,12569768.4268091,15900214.5799545,15094972.3782091
"Cer(d22:0)",449340.8499,1723504.513,715602.1095,1199703.783,1145829.479,801959.6418
"Cer(m18:0)",10574158.498,7563512.253925,7340665.350325,8331345.74935,8103543.47695,6275179.09175
"Cer(m18:1)",11700000,3.3e+07,13600000,1.3e+07,14100000,14500000
"Cer(m20:0)",10200000,11200000,7491471.99,8659318.876,8780697.96,7766703.146
"Cer(m22:1)",12300000,4273039.658,396555.4116,3868222.6,3591517.123,433793.7906
"Cer(t18:0)",27659250.96181,61339303.69224,83935921.6399,96618785.03209,100774301.60019,122830761.90004
"Cer(t18:1)",24506009.9866857,62107475.9432857,80750285.3222857,117542564.767143,117884344.199914,102044774.724457
"Cer(t20:0)",558975.119,818355.74,743516.437,644250.243,626075.868,711166.856
"Cer(t20:1)",151326.604,215495.515,222090.407,157213.711,149044.22,160476.722
"ChE(16:1)",451803.256,1790037.719,1621602.754,460391.582,167006.04,449449.561
"ChE(18:1)",16700000,7.4e+07,75200000,10400000,15800000,23500000
"ChE(18:2)",75419.973,209559.6414,120060.8964,195943.9581,83292.9768,150171.91
"ChE(18:3)",4924042.876,12200000,10600000,4380733.742,5253259.366,6987479.341
"ChE(20:1)",188584.553,1975794.914,1600991.605,141701.205,NA,154143.608
"ChE(20:2)",25500000,63500000,55400000,21100000,23400000,31400000
"ChE(20:3)",1.14e+08,2.48e+08,2.15e+08,1.08e+08,1.16e+08,1.31e+08
"ChE(20:4)",3.98e+08,3.07e+08,2.92e+08,5.35e+08,4.49e+08,4.71e+08
"ChE(20:5)",60800000,1.12e+08,96900000,5.2e+07,63100000,66100000
"ChE(22:3)",2779035.101,12400000,11800000,5790814.698,4993985.459,7249822.778
"ChE(22:4)",25100000,84700000,63700000,22300000,25500000,29100000
"ChE(22:5)",1.22e+08,3.05e+08,2.43e+08,1.08e+08,1.24e+08,1.32e+08
"ChE(22:6)",1.82e+08,3.3e+08,3.03e+08,1.49e+08,1.83e+08,1.94e+08
"DG(10:2)",27800000,40200000,50400000,1.16e+08,79200000,99700000
"DG(14:0)",17153027.78,13107637.9515,12815124.1825,6719285.019,15117193.667,17493893.95495
"DG(16:0)",109992973.326222,95701958.1559111,82200309.8669111,137259229.913633,108246955.486778,136729704.469
"DG(16:1)",2368181.0854,3827607.72075,5793478.56275,5022387.769,2646688.81425,10202678.5064
"DG(18:0)",137784315.071455,114852531.521455,98893784.8938182,170433287.794273,166390469.092,171286479.013273
"DG(18:1)",347720941.75469,292199559.48835,264317919.50197,350966342.515635,338329103.64125,386052576.788
"DG(18:2)",232930635.3419,203771474.4748,183122460.7059,363377113.5483,284374567.5277,281440000
"DG(18:3)",38146041.2377,35708805.881275,40512668.2874,44879498.576425,37966322.982,46008192.7408125
"DG(20:0)",66600000,50350000,43200000,8.8e+07,6.7e+07,75650000
"DG(20:1)",1.96e+08,1.98e+08,1.87e+08,2.2e+08,2.14e+08,2.34e+08
"DG(20:2)",4.2e+07,32200000,27900000,54500000,41400000,48700000
"DG(20:3)",29400000,27100000,22650000,24650000,22750000,31300000
"DG(20:4)",87762121.4293333,83933333.3333333,69272524.055,81573313.2073,75485016.6173333,88228225.4476667
"DG(20:5)",3226113.847,2448689.643,2871573.375,953852.0052,1247580.08,1428058.699
"DG(22:0)",22800000,23304415.941,14929419.967,32750000,22600000,25200000
"DG(22:1)",26400000,23600000,22600000,24400000,23600000,28500000
"DG(22:2)",3830038.16,6854412.61,655520.5608,437954.4318,198938.046,3135303.563
"DG(22:3)",195532.2918,5942294.889,662180.5686,124408.9257,4134138.27,14400000
"DG(22:4)",41586992.9315,40993805.818,32834477.483,40498512.8125,37566031.122,44922218.514
"DG(22:5)",54940778.005,54312689.1056667,45439239.677,61031887.0956667,56079098.3893333,68370209.8343333
"DG(22:6)",48803739.486,45898498.621,39007295.1896667,48314745.2318,45231068.5026667,58200000
"DG(24:0)",9702918.65,8751339.154,8603224.238,14200000,1.3e+07,11200000
"DG(6:0)",27800000,40200000,50400000,1.16e+08,79200000,99700000
"LPC(14:0)",137833.6068,748494.065,100351.9656,425633.0169,537501.288,370557.4752
"LPC(14:1)",2433095.055,2562081.796,2797618.487,559991.0928,2833446.179,21428.9535
"LPC(16:0)",27171115.8865,27804661.2325,29500000,26212132.7025,27805782.3955,28934802.509
"LPC(16:1)",21657281.8685,22276759.885,22728677.6225,20588979.7265,22349491.134,19868482.394
"LPC(16:2)",51531.1929,82906.4793,240953.988,58572.2658,93199.377,153015.7437
"LPC(18:0)",33196813.909,35894946.708,42262867.6095,29774140.955,34650645.6325,30685094.95
"LPC(18:1)",85400000,86450000,105700000,82050000,91950000,90800000
"LPC(18:2)",5303133.9675,5131336.90425,6276591.9705,4588960.973,5144862.4835,4938220.298
"LPC(20:0)",1514658.305,2175755.508,2585919.192,2272472.792,2664686.459,1384645.24
"LPC(20:1)",8140990.698,9384383.527,12200000,6863703.573,7764270.962,8867587.235
"LPC(20:2)",53740.9572,65360.4576,20553.2304,127197.4572,NA,105098.731
"LPC(20:3)",NA,7113.196,11928.994,NA,NA,7169.555
"LPC(20:4)",20648.0541,19373.0436,18839.486,47798.008,25790.0331,17817.477
"LPC(20:5)",NA,11151.5805,101073.4074,21045.9201,20038.104,39554.529
"LPC(22:1)",1454846.347,1434000.592,1731837.909,1261190.492,1353906.263,1432675.457
"LPC(22:4)",NA,62937.3987,35859.4632,NA,7.157,NA
"LPC(22:5)",76494.129,74252.0385,98618.5386,NA,156820.441,542542.175
"LPC(22:6)",NA,9991.8576,306.7605,152.2719,2085.2859,150.657
"LPC(26:0)",2336319.841,2512105.993,1935960.379,2769676.477,2741745.244,2111307.23
"LPC(28:0)",46500000,39800000,46900000,49900000,45300000,52700000
"LPC(28:1)",6286775.817,6891283.029,6054968.801,5873599.504,6471595.243,6196333.003
"LPC(30:1)",6949071.304,6645409.802,5093528.563,6106682.741,6078470.712,4786637.505
"LPC(32:0)",56700000,56500000,52800000,52100000,51400000,54800000
"LPC(32:1)",63500000,5.8e+07,51700000,56300000,58400000,56600000
"LPC(34:0)",6872840.661,4692582.871,2109699.602,5567469.681,5204951.596,4578621.959
"LPC(34:1)",1.65e+08,1.88e+08,1.81e+08,1.66e+08,1.78e+08,1.7e+08
"LPC(36:0)",2931756.411,2149387.434,881162.912,849003.0267,213308.2233,1312613.465
"LPE(16:0)",4062615.353,4379504.191,3497365.443,2663786.346,2969744.668,3835939.099
"LPE(16:1)",5548553.888,5757539.204,7568986.669,3791613.315,4101331.522,4193445.739
"LPE(18:0)",15300000,14900000,16900000,14700000,1.4e+07,16800000
"LPE(18:1)",10015423.996,10155242.921,13523765.272,9251900.9335,9194676.6715,11426849.083
"LPE(18:2)",5536028.432,6095116.442,7339794.452,3309259.809,4116631.272,4183748.503
"LPE(20:1)",3635022.6565,3146795.951,3243580.6275,2695336.475,3381231.9055,3157860.4315
"LPE(20:4)",3529754.362,4047294.6,3169104.514,4013023.057,3933099.584,4388494.598
"LPE(20:5)",120845.2761,279264.413,64596.0006,334328.462,353299.811,499795.867
"LPE(22:1)",370287.9942,475087.283,337552.47,276974.127,468175.891,363705.096
"LPE(22:5)",1521458.556,159959.6832,1565209.956,1013596.629,1234257.272,64142.0451
"LPE(22:6)",3430093.045,2819467.813,2346470.371,2816093.736,2593182.592,3296944.087
"LPG(18:1)",846226.479,764208.862,815356.433,450285.59,568956.285,547577.317
"LPI(18:0)",449586.694,642282.25,776427.028,111165.3978,297876.06,158074.2864
"LPI(18:1)",390714.21,14202.3411,20778.5466,4908.7803,289052.633,1628.1282
"PA(18:0)",1340039.373,1960585.145,1540130.132,1402152.234,1183747.738,1439106.964
"PA(18:1)",445212.565075,757439.2243,543299.322025,405519.849675,527653.00485,685998.504
"PA(20:0)",5627.0193,721431.5622,33495.1221,86442.5061,565188.3594,1031238.9
"PC(10:1)",724119.6072,825287.1366,152026.857,440541.5496,963320.6088,615205.8393
"PC(12:0)",527283.3939,450305.903666667,625003.438366667,554324.7386,512467.306133333,718693.144366667
"PC(12:1)",5081475.295,2235720.77155,1872832.9928,2371809.2135,1329046.5883,3893598.276
"PC(14:0)",7854981.89985556,8396996.54355556,7700195.37707778,8806045.63787778,8399643.88733333,7505433.0163
"PC(14:1)",8025775.34842857,7975261.721,6872958.38314286,8314543.06185714,8902274.32175714,8403648.76228571
"PC(16:0)",79243257.2369647,85779334.0214206,77101993.8560588,74122739.3024412,77119729.1640441,82168838.2805971
"PC(16:1)",45966025.2905808,42046009.0928346,39464608.1505769,34697849.4437038,39875394.8378077,40426565.8915269
"PC(16:2)",1211449.555275,1137134.66975,802673.642825,543116.4778,1157531.89,926589.545775
"PC(18:0)",32377608.79181,36177962.948735,33943941.055795,33584096.569705,36606433.86154,35810194.50282
"PC(18:1)",58583920.6045902,62264264.2139268,58819549.7575659,53201957.0726122,56155751.0729268,62975850.0317103
"PC(18:2)",17190288.9898,18098727.9375667,16056485.2166833,15224162.89425,17171923.9618333,16006908.1346667
"PC(18:3)",11901170.3300556,12864735.7385222,12281584.6472889,9656810.18355555,11293025.6504444,11586008.4755111
"PC(20:0)",2333060.11711667,2573528.70186667,2315205.94481667,2271885.22913333,2634488.8775,2560165.93866667
"PC(20:1)",20261422.5703,22968977.6505,20736256.24431,18508242.08429,19229645.28152,19857139.4919
"PC(20:2)",96887189.5523333,104809094.954,98111493.7873333,93986079.1167667,102854192.97,99929539.424
"PC(20:3)",6043296.61455714,6246131.94778571,5702207.03557143,5369342.9265,6458783.07214286,6259410.65881429
"PC(20:4)",12714590.3783773,12811526.9013091,11513906.9445955,11766435.6275318,12665376.6903045,12424003.6931545
"PC(20:5)",3790121.97594444,3353157.82214444,3063518.67055556,4188142.41538889,4133675.55594444,4066386.55722222
"PC(22:0)",425156.366,14720.4717,485294.4234,296911.282,457901.064,579903.431
"PC(22:1)",3891073.941,3081816.942,4189050.356,3772333.748,5016299.3055,4764067.9555
"PC(22:2)",1472.4648,884969.664,876936.398,799716.195,41956.2516,946302.181
"PC(22:3)",7644470.8705,8997831.261,8066602.8515,7394773.3775,8600493.0285,7470888.1985
"PC(22:4)",2334684.65583333,2289068.61688333,2714723.27246667,1439159.50758333,769433.786283333,1820980.42275
"PC(22:5)",6947365.89684375,7348091.6587625,6574221.524,6856224.9555875,6727321.75860625,6592711.574675
"PC(22:6)",6825131.61915455,7039944.58840455,6498609.98778636,6117793.07887273,6851615.77765454,6478804.81737273
"PC(24:1)",266358.0174,146340.5505,263815.0255,350439.6891,321526.6896,38140.51395
"PC(24:2)",40458.437,31805.551,10736.418,102908.179,58899.8,29982.308
"PE(12:0)",1932821.7295,1357833.393,1690548.424,2127028.998,2151396.2735,2107483.53
"PE(12:1)",397848.70312,344852.528,476237.13794,489375.9956,457467.28822,510409.0512
"PE(14:0)",2222790.96303077,2365647.15568462,2075296.14833846,2739367.696325,2383118.99497692,2711627.98331538
"PE(14:1)",1525073.15066667,2203519.33133333,2136298.53966667,2124697.58166667,2125912.18033333,2511076.90033333
"PE(16:0)",166328642.694329,158159516.331265,151234603.94148,175089663.154905,184787991.826888,169775489.59027
"PE(16:1)",38725206.7704533,35239113.5589367,33416620.51422,40415404.1090233,35873494.09296,42181666.4767867
"PE(16:2)",805449.0374,747358.9086,851401.56765,760883.48865,762050.947,861746.35615
"PE(18:0)",109972099.015628,110167122.059069,109263252.81801,112724445.971593,126112410.482176,121399177.337221
"PE(18:1)",345412201.350856,345854156.442042,324502253.378573,349258515.555202,401610359.166066,391458099.843583
"PE(18:2)",39345318.0197036,38140367.6633407,34550400.9435429,35703615.2373036,37059346.3479107,36390227.2341393
"PE(18:3)",2684138.4752,2710520.00225,2977925.30275,2754525.81675,2660079.91175,2458755.61975
"PE(20:0)",4364452.61403077,5089948.03799167,4680265.86845385,4756996.80178462,5236066.58293846,5181791.34898461
"PE(20:1)",29626566.1653056,31062004.6444444,29080541.0723722,32260252.8352353,33528647.2811778,36078398.0589059
"PE(20:2)",2524460.51063333,2764833.90448333,2867154.59531667,2571220.7233,2901581.2274,2610791.46291667
"PE(20:3)",7546795.02048,9084973.85339,9583805.27282,10934383.42992,11021409.3246,9371741.74355
"PE(20:4)",134223935.961079,138846715.645059,123908654.927029,144148648.481685,138751532.840139,141559134.252289
"PE(20:5)",81385807.8697273,69743652.5250909,63605122.0395091,71558303.9306727,74348271.8504546,68989220.6235636
"PE(22:0)",3171420.4395,3520646.3535,3312886.6115,2703414.573,3165238.12885,3782358.42225
"PE(22:1)",15594139.2788333,16025682.4856667,17054535.991,16639687.6773333,19711295.3473333,20137278.3966667
"PE(22:2)",2422812.73866,2449309.71622,2641502.3249,2690528.25696,2988813.072,3351754.75754
"PE(22:3)",5526219.68633333,6081917.5821,6512368.30553333,6101713.88536667,6898367.10933333,7105422.5203
"PE(22:4)",16079775.3944444,17032359.4657,16612732.5709444,18681488.864625,17503180.7853444,17432007.5785444
"PE(22:5)",137493660.596438,136117454.196395,125070272.093819,137379159.130752,152773132.291995,141099291.223495
"PE(22:6)",127094553.232186,120065416.667286,116127050.475768,135476050.314621,148447914.004714,122515049.909271
"PE(24:0)",275409.598,200845.721,274826.972,236509.72,148068.2895,397017.93
"PE(24:1)",532331.623,706149.661,127044.6924,176805.0294,691663.666,732490.387
"PE(32:1)",91291.547,283882.98,294133.256,97665.37,161960.262,359138.103
"PG(12:0)",254288.285,176320.746,240525.068,366881.018,367567.998,610113.613
"PG(14:0)",4973807.0515,4834086.5855,5546193.3015,5194173.6275,4783768.5995,7117806.1025
"PG(16:0)",32834518.8165222,30204910.0537222,30958696.9356778,33421087.9063333,35468266.1474444,34178366.6781111
"PG(16:1)",3960886.370925,4327464.006375,3935153.001525,4057190.4275,4253791.225425,4526822.8285
"PG(18:0)",31099088.456,12712665.992,12006103.566,31414614.146,28940111.537,33529393.203
"PG(18:1)",39057946.4612222,35872497.1730333,35049363.0473889,38882740.4541111,41181026.3943444,39986476.2276667
"PG(18:2)",2083852.182,1596964.95446667,1348336.4395,1852655.89523333,1915174.555,1793427.36416667
"PG(18:3)",184533.565,38703.3216,228777.479,208736.959,190256.7372,121533.589
"PG(20:0)",2798048.822,2372279.545,2787636.932,3015256.034,3332954.051,3143651.48
"PG(20:1)",1273535.687,1753148.404,1551916.619,1234308.203,1382445.289,1397020.424
"PG(20:2)",2619011.482,4770532.424,4264955.717,4574698.874,4592737.762,4448588.627
"PG(20:3)",554206.274,640303.23,563287.3476,419444.391733333,822023.2965,786411.0492
"PG(20:4)",1445810.43096364,1633812.75499091,1351856.04404545,1212403.5597,1697333.20923636,1610440.72987
"PG(20:5)",989131.51625,963172.20325,964375.629475,740866.883,1002101.05795,915182.29355
"PG(22:4)",854860.533625,1041589.580625,777437.79145,779583.287325,719982.69465,806101.56985
"PG(22:5)",1178986.04207143,1236123.72862857,1142736.7497,1303170.53967143,1313044.52825714,1743856.76046667
"PG(22:6)",7517189.50467273,8194922.03763636,6166984.39005455,8126732.94283636,8773654.16457,8020665.4667
"PG(32:0)",16700000,13500000,12800000,15300000,16300000,1.5e+07
"PI(14:1)",68582.15745,282701.63085,42441.1704,127966.3101,172465.7124,274493.14065
"PI(16:0)",2935259.56328,7062780.25948,7589137.84704,4067927.65086,4193483.72046,9094636.08096
"PI(16:1)",3063101.6007,5104783.19466667,4018451.96456667,3188230.63533333,3155956.231,5651795.09743333
"PI(18:0)",39162281.6476538,69840405.6862923,73040084.2695462,43095778.6546538,41777426.0378308,80795961.3185538
"PI(18:1)",20431846.10664,39613217.8448733,42027958.5323533,22236532.13454,19960561.7138,49001274.2039267
"PI(18:2)",4819870.57933333,6864740.07166667,6750952.784,5060818.239,5701721.51733333,10299667.973
"PI(18:3)",125006.449,192144.858,50053.918,27677.5164,77179.877,55182.4677
"PI(20:0)",54505.728,231690.2601,205520.233,19128.4221,175870.095,531794.185
"PI(20:1)",2540532.1415,5039594.6265,5176177.8975,2596763.0265,2393447.2855,5337372.425
"PI(20:2)",2274628.743,3425773.439,3312586.408,2791030.486,2324816.519,5177976.718
"PI(20:3)",2778336.3043,4266393.01405,4048554.37835,3228048.8948,3613449.886,4636421.29045
"PI(20:4)",48078545.9232857,74093401.1990714,76288285.9261429,54979331.8167286,54429612.0693714,82598227.943
"PI(20:5)",5623074.40533333,4702395.38266667,7288015.62446667,5236966.43356667,5239275.57403333,10209987.9001667
"PI(22:3)",514433.416,1105891.494,1087796.145,486957.361,412660.011,1214962.064
"PI(22:4)",3451313.91076667,5842687.87946667,5446869.56136667,3803669.93853333,2867965.7324,6481567.28233333
"PI(22:5)",11624901.0285,17633000.6755,15405032.513,13053421.9015,12973671.9755,20353895.9935
"PI(22:6)",578068.1269,2845444.65895,2681575.22255,459370.83,1381914.5675,2832232.801
"PS(16:0)",1767632.822,2215507.2765,2784264.009,1522793.585,1491705.8505,6117620.352
"PS(16:1)",647498.6854,628325.30575,539598.8834,556447.364,560907.7157,678014.94795
"PS(18:0)",1869551.75433333,10125159.29365,8526361.722775,3203054.43595,3743882.82215,27520882.194
"PS(18:1)",609036.49675,3838810.24165,3554097.25127,1482689.64612,1271222.97744,10003714.80317
"PS(18:2)",1908270.597,1026744.5068,1000968.06405,918057.4724,928903.7178,4270315.185
"PS(20:2)",1128943.99113333,1163001.95433333,1097115.20383333,1187902.23746667,1079270.69673333,1128191.8812
"PS(20:3)",1879514.461,4517810.628,2752120.487,3061508.781,1160958.971,3211453.055
"PS(20:4)",890505.730866667,953083.478366667,1059443.2205,976445.440566667,1147255.64333333,1643141.80866667
"PS(22:5)",1144446.8655,7348979.941,5130903.8915,2360237.7955,2198650.538,16454762.2385
"PS(22:6)",565789.94658,867327.2977,1100388.73166,935527.15858,780838.78252,2312555.18864
"SM(18:1)",1745241.264,1250517.964,1861833.892,1122907.427,907402.2192,2239518.15
"SM(18:2)",27200000,2.7e+07,2.1e+07,21400000,18900000,20200000
"SM(22:0)",23860278.32205,28115644.18105,24971634.6675,37700000,18629392.0264,22192839.03865
"SM(22:2)",308883.6726,233169.9753,436746.5487,NA,334470.2922,636868.6269
"SM(24:3)",7.2e+07,73800000,74200000,65700000,66400000,67800000
"SM(24:5)",797898.692,297412.002,236579.7159,1655101.811,1004146.16,867091.1139
"SM(d14:0)",308883.6726,233169.9753,436746.5487,NA,334470.2922,636868.6269
"SM(d18:1)",19285784.989,21136982.4915,18224603.401975,15469502.3095,14477887.0948,16901652.315975
"SM(d18:2)",36160278.32205,37015644.18105,37171634.6675,65700000,33279392.0264,33942839.03865
"TG(10:0)",13700912.6926667,21498956.757,20007369.8355,14034224.1331667,11735172.6358333,14683250.2631667
"TG(10:1)",33300837.6783333,26172146.1676667,21546554.6013333,58490062.0043333,33822261.2986667,44610519.7356667
"TG(10:2)",227588.3511,71517.8235,146789.34,254160.8154,215946.2574,218610.7809
"TG(10:3)",2357333.39844,2612095.00668,2517960.075425,2837462.22295,2681653.70772,2967130.76582
"TG(10:4)",4439191.983525,4884023.26655,3899025.5485,4425223.6581,6177495.63635,6678677.739475
"TG(12:0)",24206790.5531,30076747.3297143,27506486.5893571,21077009.4184286,25132529.112,26504458.0718571
"TG(12:1)",54094334.9343562,45049508.5561187,38366025.0302875,50706293.5954062,44225330.1491875,55140530.2166312
"TG(12:2)",2683149.563,2353353.707,3272259.262,9746254.883,5131359.906,1550434.581
"TG(12:3)",4797474.67766667,6979072.55446667,4304935.44426667,11420312.3546333,7679126.583,5445718.67233333
"TG(12:4)",4299432.3095,5175531.9515,5932010.6355,9498749.0335,8473531.208,5625929.2615
"TG(14:0)",116852890.949235,174120616.512059,173222106.795529,95440197.7475294,107557674.623529,110116983.060588
"TG(14:1)",40080959.5659,57425335.3707,38801497.3663,28563752.8,29853135.9906,35016797.4369
"TG(14:2)",5701328.597375,7236452.44975,9555408.7085,7518852.581,7485300.73275,7124454.119
"TG(14:3)",218149.135,49211.1675,169547.792,136693.045,178166.4084,531802.581
"TG(14:4)",2452061.733,4900211.719,1665009.279,4440178.424,5475473.34,1228394.884
"TG(16:0)",119609057.750447,192841874.829061,164619422.022282,102313994.698395,114062721.925632,114909230.388355
"TG(16:1)",161111529.240037,231371710.425526,197819830.280659,129452835.36237,156307139.676226,139406087.743567
"TG(16:2)",8859312.11866667,9827705.21956667,7965920.29433333,9511755.10333333,11354054.426,13192538.2406667
"TG(18:0)",105301211.577313,210240903.040173,192245831.47649,89403649.9062933,111771839.002537,124465895.812877
"TG(18:1)",239693072.098072,388542395.091774,350670442.599951,203151383.826639,246527441.61037,240638854.99965
"TG(18:2)",485396022.097287,518498895.230339,508862679.164571,438995523.134029,457333179.240806,464927552.396623
"TG(18:3)",73499619.4825136,89266334.8983273,75693984.4199591,78590049.3986455,75818200.1557454,71953470.1840091
"TG(18:4)",24959074.5675,18374605.58375,15184773.896,39618346.5225,25689083.2042,27665901.2905
"TG(20:0)",21026015.347,52472608.7473333,46559790.4023333,21312415.0023333,24565660.6636667,24835261.6123333
"TG(20:1)",62912597.222075,115681511.545275,94904088.4856846,51767937.5493923,72352693.6742917,69771877.0452583
"TG(20:2)",132515296.911667,262917839.058333,149114859.405667,113101052.381667,135203053.542,170876133.204333
"TG(20:3)",135404785.079833,209700537.795917,186734261.180642,136551179.558833,151021960.95525,154053407.43525
"TG(20:4)",81746126.660695,110321790.55954,93840545.25529,78171047.38876,82631876.139955,78843509.686665
"TG(20:5)",79406690.7112357,117656973.729007,134096517.533046,67443633.0981357,83969663.9467214,70656112.6130929
"TG(22:0)",419121.248,500493.7716,1079982.316,115177.7583,314204.818,294128.676
"TG(22:1)",21082007.0594,54320209.7156133,48935015.2100533,16666461.77914,19948780.8761533,22149115.7388133
"TG(22:2)",77800000,1.41e+08,1.69e+08,50300000,86500000,74200000
"TG(22:3)",49655045.3665667,67386068.9470667,56200390.4010667,44929328.2222333,34883316.3013167,39393356.18605
"TG(22:4)",135108361.595688,239346855.123375,204863179.004489,123587543.012044,156332169.869063,140279747.356519
"TG(22:5)",66245323.0329724,96426306.7707517,79914297.7658828,67601477.7158138,79222118.0233897,71923039.9645276
"TG(22:6)",87748048.8849,126627947.409754,108888558.137375,75002493.3654167,96497547.3075792,80493246.6042083
"TG(24:0)",197282.418,471389.3589,2408237.176,174369.9474,115.57,129021.245
"TG(24:2)",6875373.504,24051224.23,16936234.6055,5519739.3325,6438303.627,8333727.6665
"TG(28:0)",3547015.055,4679067.798,4165710.98,3360926.893,4189484.936,4230859.314
"TG(4:0)",10769258.2706667,12260456.5951667,12341194.5006667,9911876.99433333,10374093.8103333,8795626.44883333
"TG(6:0)",38689840.4567714,33906565.1312429,25407799.8868607,34251080.8674036,29662119.5596214,39227081.5105036
"TG(8:0)",22968143.6687778,17906568.8825,13070373.1809111,36599713.0427222,19517523.3452778,28685958.8455
