"subclass","cos7_1","cos7_1i-1","cos7_1i-2","cos7_1i-3","cos7_2","cos7_3"
"Cer(16:0)",185400,230300,284600,238000,240100,200100
"Cer(18:1)",18560,29240,NA,9713,17480,3915
"Cer(24:0)",614260,971680,428520,365420,529520,502510
"Cer(24:1)",588540,575140,612790,476790,871100,777940
"Cer(26:1)",26320,25790,2145,24660,39650,42520
"Cer(d18:1)",865300,891300,1015700,826200,1233200,1102900
"Cer(d18:2)",133480,154250,141365,140523,235670,216295
"Cer(t18:0)",315000,565000,117800,101400,155800,138300
"Cer(t18:1)",119300,221600,53190,46460,73180,69490
"DG(15:0)",17070,8720,14285,68550,15155,12495
"DG(16:0)",212110,208000,211250,666950,197710,205570
"DG(16:1)",32170,8720,14285,68550,15155,38935
"DG(18:0)",614150,527175,442785,1736720,670750,691250
"DG(18:1)",1114040,1059280,1384055,1209980,1494090,1464250
"DG(20:1)",66900,59900,87450,82000,70150,91350
"DG(20:2)",NA,NA,NA,NA,18725,15465
"DG(20:4)",70150,27925,38065,28520,101400,95700
"DG(22:1)",12740,19200,24010,18815,24665,23145
"DG(22:6)",19810,12330,15480,10360,29020,23960
"DG(24:4)",13390,19800,32245,20055,16780,13490
"FA(16:0)",214000,264000,182800,97730,222800,212700
"FA(18:0)",259000,304600,218000,158400,320800,329000
"FA(18:1)",121800,106200,127300,125000,131500,111700
"FA(18:2)",80110,77560,39360,51460,61570,42370
"FA(40:5)",597200,627400,715400,613600,635200,719800
"FA(42:5)",371300,509100,11050,399500,444200,527100
"FA(44:5)",131900,186000,163000,154200,161100,162000
"LPC(16:0)",352354,473570,618570,494542,450457,409376
"LPC(17:0)",24240,35910,48270,37130,35020,27470
"LPC(18:0)",648500,865500,1216000,873000,926000,794900
"LPC(18:1)",290700,296800,356200,297000,358300,312100
"LPC(20:0)",46490,53840,67480,45490,58170,56670
"LPC(20:3)",30520,39610,62880,29250,39960,32960
"LPC(20:4)",118000,148000,196300,183100,168300,153500
"LPC(22:5)",41550,27650,25000,26430,51130,44810
"LPC(22:6)",59810,22240,27190,23170,51410,39420
"LPE(16:1)",14920,8536,12160,7908,18320,16870
"LPE(18:0)",20650,22320,27880,22360,27160,26370
"LPE(18:1)",54870,66540,90170,74110,75610,84890
"LPE(20:4)",135900,249900,337300,289100,305100,256100
"LPE(22:5)",84620,74070,140500,112200,107500,89370
"LPE(22:6)",72180,50890,74150,61970,89520,94750
"MG(18:0)",37160,17200,12620,26060,15480,11460
"MG(22:2)",66790,62010,70290,64050,68100,51890
"PC(14:0)",1127650,970526,1362835,1033185.5,1366545,1135140
"PC(15:0)",141800,93650,114600,99300,116000,108550
"PC(16:0)",19965270,18656855,24390045,18449670,25402090,21484385
"PC(16:1)",2249280,1829321,2503287,2032645.5,2686095,2449055
"PC(16:2)",8955,17210,13575,20400,20740,4528
"PC(16:3)",9155,10660,14390,11645,9380,9900
"PC(17:0)",75600,76250,101550,83950,96150,98200
"PC(17:1)",49620,28375,51000,28730,40780,41845
"PC(18:0)",3916335,3450675,5097240,3709735,5253570,4658895
"PC(18:1)",86823592.15,74044924,100941130.85,78527347.5,111513891.5,95577342.1
"PC(18:2)",1763730,1130920,1824435,1839120,2368435,2428295
"PC(19:1)",20120,15330,21155,15255,26575,22065
"PC(20:1)",787500,952000,1401000,1022500,1128000,1022500
"PC(20:3)",494050,753050,1208200,946450,623550,628650
"PC(20:4)",2671905,2077910,2590640,2261230,3251370,2773485
"PC(20:5)",31170,39270,46910,41355,26620,35325
"PC(22:1)",19865,46540,62300,50550,23210,24270
"PC(22:4)",40655,100350,136700,113000,57100,48745
"PC(22:5)",119190,133435,173590,167320,150730,136140
"PC(22:6)",192775,193575,250210,189730.5,234045,229845
"PC(24:4)",67.15,3854,445.85,3897,566.5,434.1
"PC(24:5)",61100,93550,125850,113100,77000,77900
"PE(15:1)",8440,4425,20315,13905,22320,13080
"PE(16:0)",2332940,1838995,2538334,1261939,2525595,2610467
"PE(16:1)",939565,723945,1054460,771145,1199380,1039598
"PE(17:0)",132650,113540,140110,100425,146560,138730
"PE(17:1)",42380,35880,54300,39770,53550,42200
"PE(18:0)",2756740.55,2080713.5,3019872.5,2029764.4,3681619.5,3335215
"PE(18:1)",6590452.55,4817468.5,7106227.5,4889444.4,8795369.5,8277410
"PE(18:2)",865875,615140,871705,612521.5,1086650,1036750
"PE(19:1)",25540,28940,38485,35210,30435,32940
"PE(20:1)",93035,68221.3,111045,77585,116035,115280
"PE(20:3)",59327,48395,54250,43530,79395,67950
"PE(20:4)",3751580,2854570,4159450,2992440,4828270,4340575
"PE(20:5)",72990,59455,95220,67625,99940,93950
"PE(22:1)",36675,25450,33590,23510,47970,39715
"PE(22:4)",376850,179560,221249,197904,337455,188785
"PE(22:5)",1227840,994225,1427415,482740,1614370,1430280
"PE(22:6)",1466195,889111.3,1345335,944571.5,1933930,1770555
"PE(24:0)",8130,6265,10180,5760,13105,12240
"PG(18:1)",296155,179539,212505,184710,364360,352185
"PG(18:2)",11400,2410.5,7170,4965,14625,7140
"PG(20:4)",52065,56060,64175,59155,65725,61795
"PG(20:5)",7525,4758.5,7845,5175,8625,6645
"PG(22:4)",6445,6940,9265,7485,8680,7720
"PG(22:5)",36140,28985,36270,30395,40135,31455
"PG(22:6)",393720,297185,359380,325225,468730,410670
"PI(18:0)",171350,76450,152200,54650,292600,217400
"PI(18:1)",125790,171450,249050,118310,169715,134650
"PI(20:4)",202090,141800,233050,101890,329515,248350
"SM(16:0)",2348500,2556800,3167100,2795600,3209500,3047600
"SM(24:1)",1354780,829770,1097840,889390,1858670,1743930
"SM(25:0)",134400,126800,178200,113200,191000,189600
"SM(26:2)",208200,97720,141400,92020,293300,243400
"SM(d18:0)",63780,41170,51840,44290,90670,84930
"SM(d18:1)",3636200,3209320,4100400,3490120,4933300,4704400
"SM(d18:2)",345900,360600,432300,355800,528500,435200
"TG(13:0)",25696.6666666667,27196.6666666667,36866.6666666667,35800,19010,50933.3333333333
"TG(14:0)",1027735.86666667,768918.1,832411.7,865683.133333333,1372679.66666667,1362423.33333333
"TG(14:1)",170203.333333333,116410,123123.333333333,124263.333333333,228720,192326.666666667
"TG(15:0)",402585,327880,265496.666666667,242266.666666667,500383.333333333,532940.333333333
"TG(15:1)",7963.33333333333,9043.33333333333,1840,8130,2191,8900
"TG(16:0)",4144607.33333333,3674534.36666667,5107260.2,5755649.6,5072153.83333333,5205958.13333333
"TG(16:1)",2441176,711455.666666667,766100,724151.333333333,3200305.66666667,3061338
"TG(16:2)",114706.666666667,35976.6666666667,114260,257.866666666667,41687.3333333333,344366.666666667
"TG(16:3)",45729.3333333333,10612.3333333333,16953.3333333333,10028,63308,52231
"TG(17:0)",515663.333333333,141690,205883.333333333,138373.333333333,588176.666666667,650333.333333333
"TG(17:1)",543342.8,147493.333333333,186264.333333333,148413.333333333,807066.666666667,800366.666666667
"TG(18:0)",3623429,815255.666666667,939783.2,3429288.33333333,4706946.66666667,4692033.66666667
"TG(18:1)",140567776.2,23388569.2333333,27028192.5333333,26177064.8,177445651.666667,168197940.933333
"TG(18:2)",3150946.66666667,542960,588350,3019393.33333333,3918400,3937066.66666667
"TG(18:3)",819666.666666667,261066.666666667,281533.333333333,259433.333333333,987000,1048666.66666667
"TG(19:1)",403233.333333333,77719.6666666667,77204.6666666667,69410,553100,459330
"TG(20:0)",386666.666666667,69300,78433.3333333333,74733.3333333333,502666.666666667,460333.333333333
"TG(20:1)",3988750,650667.666666667,731835.333333333,576999.333333333,5623966.66666667,5136900
"TG(20:2)",416000,122733.333333333,148133.333333333,119046.666666667,1149133.33333333,497500
"TG(20:3)",2157466.66666667,381726.666666667,461080,406253.333333333,2967733.33333333,2656390
"TG(20:4)",7185740,1374406.66666667,1625128,1412166.66666667,9275890,9116830
"TG(20:5)",1647803.33333333,251163.333333333,292346.666666667,235603.333333333,2338433.33333333,2244133.33333333
"TG(21:1)",94800,20986.6666666667,21876.6666666667,18113.3333333333,84566.6666666667,69933.3333333333
"TG(21:2)",33633.3333333333,34000,40566.6666666667,11583.3333333333,37633.3333333333,53666.6666666667
"TG(22:1)",282290,35474.3333333333,38962,37956.6666666667,373353.333333333,395570
"TG(22:2)",175133.333333333,39766.6666666667,65066.6666666667,74833.3333333333,184366.666666667,208366.666666667
"TG(22:3)",1033533.33333333,246796.666666667,325916.666666667,239396.666666667,1600666.66666667,1109033.33333333
"TG(22:4)",1872566.66666667,531466.666666667,473390,528033.333333333,2221966.66666667,2245333.33333333
"TG(22:5)",6309099.46666667,1468896.66666667,1868321,1458918.33333333,6852840,6477505.33333333
"TG(22:6)",6807230,1000756.66666667,1083286.66666667,1024849.26666667,8839876.66666667,8601092.33333333
"TG(24:2)",16663.3333333333,18580,22326.6666666667,19373.3333333333,85000,82066.6666666667
"TG(24:4)",875533.333333333,289500,402833.333333333,300166.666666667,870433.333333333,948733.333333333
"TG(24:5)",417350,107253.333333333,191200,152638.6,909133.333333333,400359
"TG(26:1)",206693.666666667,39285.3333333333,48602.5333333333,38466.6666666667,250839.333333333,205929
"TG(28:5)",102900,54833.3333333333,70766.6666666667,64866.6666666667,220266.666666667,127933.333333333
"TG(8:0)",15203.3333333333,388,360,142.933333333333,17410,151.5
